,Statistic,No.,Name,Pos.,Ht.,Wt.,Year,Hometown / Previous School,Image,Title
0,,10.0,Jimari Butler,LB,6-5,245.0,So.,"Mobile, Ala. / Murphy",,
1,,10.0,Anthony Grant,RB,5-11,200.0,Sr.,"Buford, Ga. / Buford HS / Florida State / New Mexico Military Institute",,
2,,10.0,Heinrich Haarberg,QB,6-5,210.0,So.,"Kearney, Neb. / Catholic",,
3,,11.0,Braxton Clark,DB,6-4,195.0,Sr.,"Orlando, Fla. / Dr. Phillips",,
4,,11.0,Casey Thompson,QB,6-0,195.0,Sr.,"Oklahoma City, Okla. / Newcastle HS / Texas",,
5,,12.0,Janiran Bonner,TE,6-3,200.0,R-Fr.,"Ellenwood, Ga. / Cedar Grove",,
6,,12.0,Omar Brown,DB,6-1,195.0,Sr.,"Minneapolis, Minn. / North HS / Northern Iowa",,
7,,12.0,Chubba Purdy,QB,6-2,210.0,So.,"Queen Creek, Ariz. / Perry HS / Florida State",,
8,,13.0,Zavier Betts,WR,6-2,200.0,So.,"Bellevue, Neb. / Bellevue West",,
9,,13.0,Malcolm Hartzog,DB,5-9,170.0,So.,"Silver Creek, Miss. / Jefferson Davis County",,
10,,13.0,Cooper Hausmann,WR,5-10,180.0,R-Fr.,"Roca, Neb. / Norris",,
11,,14.0,Chief Borders,LB,6-4,240.0,So.,"Chicago, Ill. / Heard County (Ga.) HS / Florida",,
12,,14.0,Rahmir Johnson,RB,5-10,185.0,Jr.,"Oradell, N.J. / Bergen Catholic",,
13,,14.0,Jeff Sims,QB,6-4,220.0,Jr.,"Jacksonville, Fla. / Sandalwood HS / Georgia Tech",,
14,,15.0,Billy Kemp IV,WR,5-9,180.0,Sr.,"Richmond, Va. / Highland Springs HS / Virginia",,
15,,15.0,Quinton Newsome,DB,6-1,180.0,Sr.,"Suwanee, Ga. / North Gwinnett",,
16,,15.0,Richard Torres,QB,6-4,215.0,R-Fr.,"San Antonio, Texas / Southside",,
17,,16.0,Elijah Jeudy,DL,6-3,300.0,So.,"Philadelphia, Pa. / Northeast HS / Texas A&M",,
18,,16.0,Marcus Washington,WR,6-2,190.0,Sr.,"St. Louis, Mo. / Trinity Catholic HS / Texas",,
19,,17.0,Ty Hahn,WR,6-2,195.0,So.,"Johnson, Neb. / Johnson-Brock",,
