,Statistic,#,Full Name,Pos.,Cl.,Ht.,Wt.,Hometown / High School,Previous College,Major,Image,Name,Title
2,,,,,,,,,,,,Robert Wright,Special Teams Coordinator/Defensive Assistant
3,,,,,,,,,,,,Ron Whitcomb,Quarterbacks/Recruiting Coordinator
4,,,,,,,,,,,,Matt Stansfield,Offensive Line
5,,,,,,,,,,,,Cedric Douglas,Defensive Line
6,,,,,,,,,,,,Kevin Sherman,Wide Receivers
7,,,,,,,,,,,,Kevin Corless,Linebackers
8,,,,,,,,,,,,Bryan Applewhite,Running Backs
9,,,,,,,,,,,,Holman Copeland,Defensive Backs
0,,,,,,,,,,,,Jeremy Cole,Head Football Strength & Conditioning Coach
1,,,,,,,,,,,,Ian Gilhousen,Assistant Strength & Conditioning Coach
2,,,,,,,,,,,,Jacob Byron,Assistant Strength & Conditioning Coach
3,,,,,,,,,,,,Chauncey Scissum,Assistant Strength & Conditioning Coach
4,,,,,,,,,,,,Neil Herman,Director of Football Operations/Academic Liaison
5,,,,,,,,,,,,Rich Massaro,Director of Player Personnel/Pro Liasion
6,,,,,,,,,,,,Ian Fried,Director of Recruiting and Scouting
7,,,,,,,,,,,,Sean McKeone,Offensive Quality Control
8,,,,,,,,,,,,Kendrick Bruton,Offensive Quality Control
9,,,,,,,,,,,,Ethan Sheirer,Senior Special Teams Analyst
10,,,,,,,,,,,,Mickey Jacobs,Defensive Analyst and Quality Control
11,,,,,,,,,,,,Ryan Barry,Special Teams Quality Control
12,,,,,,,,,,,,Aaron Cantu,Video Coordinator
13,,,,,,,,,,,,Brandon Baker,Creative Content
14,,,,,,,,,,,,Emily Galbraith,Team Nutritionist
15,,,,,,,,,,,,Sten Homme,Scouting & Operations Intern
16,,,,,,,,,,,,Nathan Jones,Graduate Assistant
17,,,,,,,,,,,,Jackson Kimble,Graduate Assistant
18,,,,,,,,,,,,Cade Minton,Graduate Assistant
19,,,,,,,,,,,,Julie O'Neill,Administrative Assistant for Head Football Coach
