,Statistic,#,Full Name,Pos.,Years/Eligibility,Hometown / High School,Ht.,Wt.,Previous School,Instagram,Twitter,Eligiblity,Image,Name,Title
94,,98.0,Andrew Jordan,DE,Redshirt Freshman,"Concord, N.C. / Jay M. Robinson",6-4,225.0,,,AndrewJordan52,R-Fr.,,,
95,,99.0,Michael Hughes,K,Junior,"Charleston, W.Va. / George Washington",6-3,175.0,,michael.hughez,michaelleehugh1,Jr.,,,
96,,,Jayden Bethea,LB,Freshman,"Lawrenceville, Ga. / Dacula",6-1,220.0,,jaydenbethea11,JaydenBethea1,Fr.,,,
97,,,Max Drag,TE,Freshman,"Chapin, S.C. / Chapin",6-4,230.0,,max.drag,MaxDrag2,Fr.,,,
98,,,Zyeir Gamble,SAF,Freshman,"Sumter, S.C. / Sumter",5-10,175.0,,,ZyeirGamble_,Fr.,,,
99,,,Ryan McKinnis,LB,Freshman,"Buford, Ga. / Buford",6-2,220.0,,ryan.mckinnis,MckinnisRyan,Fr.,,,
100,,,Colton Phares,SAF,Freshman,"Beaufort, S.C. / Beaufort",6-2,185.0,,colton.phares,ColtonPhares,Fr.,,,
101,,,DJ Porter,CB,Freshman,"Spartanburg, S.C. / Dorman",6-0,165.0,,,Porter18Dj,Fr.,,,
102,,,Cayden Sweatt,OL,Freshman,"Bremen, Ga. / Bremen",6-4,285.0,,caydensweatt_,CaydenNoah,Fr.,,,
103,,,Grant Tucker,WR,Freshman,"Charlotte, N.C. / Charlotte Christian",6-3,185.0,,_grant8tucker_,_Grant8tucker_,Fr.,,,
0,,,,,,,,,,,,,,Shawn Clark,Head Coach
1,,,,,,,,,,,,,,Frank Ponce,Offensive Coordinator/Quarterbacks
2,,,,,,,,,,,,,,Scot Sloan,Defensive Coordinator/Safeties
3,,,,,,,,,,,,,,Justin Watts,Assistant Head Coach/Passing Game Coordinator/Tight Ends
4,,,,,,,,,,,,,,Victor Cabral,Defensive Line
5,,,,,,,,,,,,,,Mike Cummings,Offensive Line
6,,,,,,,,,,,,,,Travis Cunningham,Inside Linebackers
7,,,,,,,,,,,,,,Lawrence Dawsey,Wide Receivers
8,,,,,,,,,,,,,,Brian Haines,Special Teams Coordinator/Running Backs
9,,,,,,,,,,,,,,A.J. Howard,Outside Linebackers
10,,,,,,,,,,,,,,Rod West,Defensive Passing Game Coordinator/Cornerbacks
11,,,,,,,,,,,,,,Matt Greenhalgh,Director of Athletic Performance for Football
0,,,,,,,,,,,,,,Nolan Jones,Associate Athletics Director for Football Operations
1,,,,,,,,,,,,,,Thomas Guerry,Director of Player Personnel/General Manager
2,,,,,,,,,,,,,,Jacob Hejeebu,Director of Recruiting
3,,,,,,,,,,,,,,John Srofe,Assistant Director of Player Personnel
4,,,,,,,,,,,,,,Lance Ware,Senior Assistant to the Head Coach
5,,,,,,,,,,,,,,Phillip Hicks,Quality Control (Defense)
6,,,,,,,,,,,,,,Trey Kavanaugh,Quality Control (Offense)
7,,,,,,,,,,,,,,Paul Padalino,Quality Control (Defense)
8,,,,,,,,,,,,,,Romorious Westbrook,Assistant Director of Football Athletic Performance
9,,,,,,,,,,,,,,Garrett Williams,Assistant Director of Football Athletic Performance
10,,,,,,,,,,,,,,Al DeGraffenreid,Graduate Assistant (Offense/Special Teams)
11,,,,,,,,,,,,,,Devin Merritt,Graduate Assistant (Recruiting & Operations)
12,,,,,,,,,,,,,,Brandon Pahl,Graduate Assistant (Offense)
13,,,,,,,,,,,,,,Tyler Rountree,Graduate Assistant (Defense)
14,,,,,,,,,,,,,,Robert Carlisle,Director of Student-Athlete Development
15,,,,,,,,,,,,,,Jacob Cooper,Assistant Athletics Director for Sport Psychology and Mental Wellness
16,,,,,,,,,,,,,,Kayla Hill,Academic Services for Student-Athletes Assistant Director / Lead Football Coordinator
17,,,,,,,,,,,,,,Reggie Hunt,Student-Athlete Leadership Coordinator
18,,,,,,,,,,,,,,Megan Morley,Director of Athletics Performance Nutrition
19,,,,,,,,,,,,,,J.R. Reese,Student Life Coordinator
20,,,,,,,,,,,,,,Taylor Young,Director of Football Athletic Training Services
21,,,,,,,,,,,,,,Devynn Galloway,Athletic Trainer
22,,,,,,,,,,,,,,Teresa Paek,Athletic Trainer
23,,,,,,,,,,,,,,Jacob Berry,Director of Football Video Operations
24,,,,,,,,,,,,,,Shane Nelson,Director of Football Equipment
25,,,,,,,,,,,,,,Will Rankin,"Intern, Equipment Manager"
