,Statistic,#,Name,Pos.,Yr.,Ht.,Wt.,Hometown / High School,Previous School,Image,Title
57,,31.0,DJ Beckum,DB,R-Fr.,5-9,166.0,"Columbus, Miss. / McQueen HS",Ole Miss,,
58,,31.0,La'Vaughn Luellen,RB,R-Fr.,5-10,230.0,"Omaha, Neb. / Omaha North HS",,,
59,,32.0,Emar'rion Winston,OLB,Fr.,6-4,245.0,"Portland, Ore. / Central Catholic HS",,,
60,,33.0,Jeffrey Bassa,ILB,So.,6-2,212.0,"Salt Lake City, Utah / Kearns HS",,,
61,,34.0,Aaron Smith,RB,R-Fr.,5-11,225.0,"San Jose, Calif. / Archbishop Mitty HS",,,
62,,34.0,Harrison Taggart,ILB,Fr.,6-1,216.0,"Draper, Utah / Corner Canyon HS",,,
63,,35.0,Micah Roth,ILB,Sr.,6-2,223.0,"Temecula, Calif. / Calvary Murrieta HS",Azusa Pacific,,
64,,36.0,Timon Davis,DB,R-Fr.,5-9,159.0,"Portland, Ore. / Grant HS",,,
65,,37.0,Max Wysocki,DB,So.,5-11,213.0,"Vienna, Va. / Madison HS",,,
66,,38.0,Rayquan Williams,DB,Fr.,6-1,168.0,"Memphis, Tenn. / Germantown HS",,,
67,,38.0,Kade Wisher,WR,Jr.,5-10,165.0,"Tigard, Ore. / Jesuit HS",,,
68,,39.0,Dane Sipos,DB,R-Fr.,6-0,182.0,"Lebanon, Ore. / Lebanon HS",,,
69,,40.0,Sir Mells,DL,Fr.,6-3,315.0,"Las Vegas, Nev. / Liberty HS",,,
70,,41.0,Zach Grisham,DB,Fr.,5-11,192.0,"Portland, Ore. / Central Catholic HS",,,
71,,42.0,Jackson LaDuke,ILB,R-Fr.,6-2,236.0,"Sparks, Nev. / Spanish Springs HS",,,
72,,43.0,Brandon Buckner,OLB,So.,6-1,250.0,"Charlotte, N.C. / Chandler HS (Ariz.)",,,
73,,43.0,Devin Morrow,DB,R-Fr.,5-10,159.0,"Atlanta, Ga. / National Christian Academy",,,
74,,44.0,Bradyn Swinson,DE,So.,6-4,233.0,"Douglasville, Ga. / Chapel Hill HS",,,
75,,45.0,Karsten Battles,LS,Sr.,6-1,250.0,"San Antonio, Texas / Claudia Taylor Johnson HS",,,
76,,45.0,Peter Burke,TE,Fr.,6-4,234.0,"Tualatin, Ore. / Tualatin HS",,,
77,,46.0,Bryce Boettcher,DB,So.,6-2,200.0,"Eugene, Ore. / South Eugene HS",,,
78,,47.0,Elijah Williams,ILB,Fr.,6-1,218.0,"Chicago, Ill. / Saint Ignatius College Prep",,,
