,Statistic,Full Name,Pos.,Ht.,Wt.,Hometown / High School,Academic Year,#,Twitter,Instagram,Last School,Image,Name,Title
23,,Denzel Boston,WR,6-4,185.0,"South Hill, Wash. / Emerald Ridge",R-Fr.,12.0,,,,,,
24,,Tristan Dunn,S,6-4,189.0,"Sumner, Wash. / Sumner",R-Fr.,12.0,tristan_dunn6,tristandunn3,,,,
25,,Kamren Fabiculanan,HUSKY,6-1,197.0,"Camarillo, Calif. / Westlake",Jr.,13.0,kamfab31,kamfab31,,,,
26,,Camdyn Stiegeler,QB,6-3,213.0,"Oregon City, Ore. / Oregon City",R-Fr.,13.0,,,,,,
27,,Milton Hopkins Jr.,EDGE,6-4,226.0,"Seattle, Wash. / O'Dea",So.,14.0,millyrockjr,millyrockjr,,,,
28,,Tyson Lang,QB,6-1,202.0,"Snohomish, Wash. / Glacier Peak",So.,14.0,Lang7Tyson,tysonmaanaima,,,,
29,,Zach Durfee,EDGE,6-5,252.0,"Dawson, Minn. / Dawson-Boyd",So.,15.0,,,Sioux Falls,,,
30,,Jabez Tinae,WR,6-0,187.0,"Seattle, Wash. / Kennedy Catholic",So.,15.0,JabezTinae13,nbabezzy,,,,
31,,Deven Bryant,LB,5-11,217.0,"Carson, Calif. / St. John Bosco",Fr.,17.0,,,,,,
32,,Teddy Purcell,QB,6-1,184.0,"Menlo Park, Calif. / Sacred Heart Prep",So.,17.0,,,,,,
33,,Camden Sirmon,WR,6-0,195.0,"Missoula, Mont. / Sentinel",So.,18.0,camdensirmon,camdensirmon,,,,
34,,Styles Siva-Tu'u,LB,5-8,226.0,"Seattle, Wash. / O'Dea",So.,18.0,Styles_SivaTuu3,s.s.t206,,,,
35,,Alex Johnson,QB,6-5,220.0,"Seattle, Wash. / Bishop Blanchet",Jr.,19.0,,,Santa Barbara CC,,,
36,,Dyson McCutcheon,HUSKY,5-11,183.0,"Claremont, Calif. / Bishop Amat",So.,19.0,DysonMccutcheon,d.cutch,,,,
37,,Tybo Rogers,RB,5-11,192.0,"Bakersfield, Calif. / Bakersfield",Fr.,20.0,,,,,,
38,,Asa Turner,S,6-3,206.0,"Carlsbad, Calif. / Carlsbad",Sr.,20.0,asaspades808,asaspades20,,,,
39,,Demario King,LB,6-3,214.0,"Los Alamitos, Calif. / Los Alamitos",Jr.,21.0,1demarioking,demarioking,Cerritos College,,,
40,,Daniyel Ngata,RB,5-9,187.0,"Reno, Nev. / Folsom (Calif.)",Jr.,21.0,,,Arizona State,,,
41,,Cameron Davis,RB,6-0,206.0,"Rancho Cucamonga, Calif. / Upland",Jr.,22.0,itscaaam_,itscaaam_,,,,
42,,Jaivion Green,CB,6-2,197.0,"Houston, Texas / Lamar",So.,22.0,iamjaiviongreen,jaiviongreen5,,,,
43,,Makell Esteen,S,6-1,178.0,"Hawthorne, Calif. / Lawndale",So.,24.0,Kells_island,kells.island,,,,
44,,Elijah Jackson,CB,6-1,191.0,"Carson, Calif. / Lawndale",So.,25.0,Ejay1up,ejay1upp,,,,
45,,Diesel Gordon,S,6-0,176.0,"Arlington, Texas / Seguin",Fr.,26.0,,,,,,
46,,Jakson Berman,CB,5-11,186.0,"San Jose, Calif. / Valley Christian",R-Fr.,27.0,,,,,,
