,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown / Prev School,Current School Name,Image,Title
22,,12.0,Websley Etienne,S,5-11,193.0,Fr.,"Fort Lauderdale, Fla. / Western HS",Arkansas State,,
23,,12.0,Emmanual Stevenson,TE,6-3,243.0,So.,"Eufala, Ala. / Eufala HS",Arkansas State,,
24,,13.0,Miller McCrumby,TE,6-3,221.0,Fr.,"Mount Pleasant, Texas / Mount Pleasant HS",Arkansas State,,
25,,14.0,Jeff Foreman,WR,6-0,180.0,Jr.,"Oklahoma City, Okla. / Del City HS",Arkansas State,,
26,,14.0,James Reed III,CB,5-10,177.0,Fr.,"Nashville, Tenn. / Father Ryan HS",Arkansas State,,
27,,15.0,Jaxon Dailey,QB,6-2,209.0,Fr.,"Pleasant Hill, Iowa / Southeast Polk HS",Arkansas State,,
28,,17.0,AJ Mayer,QB,6-3,220.0,R-Jr.,"Edgewood, Ky. / Miami (OH)",Arkansas State,,
29,,17.0,Blayne Toll,DE,6-6,252.0,So.,"Hazen, Ark. / Hazen HS/Colorado/Arkansas",Arkansas State,,
30,,18.0,Dennard Flowers,DE,6-2,239.0,R-Fr.,"Fairburn, Ga. / Creekside HS",Arkansas State,,
31,,19.0,Denzel Blackwell,CB,5-9,184.0,So.,"Houston, Texas / Boston College",Arkansas State,,
32,,20.0,Mike Sharpe II,RB,5-11,186.0,Fr.,"Pinson, Ala. / Pinson Valley HS",Arkansas State,,
33,,21.0,Melique Straker,LB,5-10,201.0,Jr.,"Brampton, Ontario, Canada /",Arkansas State,,
34,,22.0,Sam Graham,S,6-0,201.0,So.,"Baltimore, Md. / Lackawanna (PA) College",Arkansas State,,
35,,23.0,Marquis Harris,WR,6-5,229.0,Fr.,"Bossier City, La. / Bossier HS",Arkansas State,,
36,,23.0,Dane Motley,LB,5-11,211.0,R-So.,"Alpharetta, Ga / Alpharetta HS",Arkansas State,,
37,,24.0,Javante Mackey,LB,6-2,221.0,Fr.,"Memphis, Tenn. / Whitehaven HS",Arkansas State,,
