,Number,Name,Position,Height,Weight,Class,Experience,Hometown,High School,Previous School
37,27.0,Josh Williams,Running Back,5-9,205.0,Graduate Student,3L,"Houston, Texas",The Kinkaid School,
38,28.0,Major Burns,Safety,6-2,190.0,Junior,2L,"Baton Rouge, La.",Madison Prep Academy,Georgia
39,28.0,Cowinn Helaire,Wide Receiver,5-9,155.0,Sophomore,SQ,"Lafayette, La.",Lafayette Christian Academy,
40,29.0,Jeremiah Hughes,Cornerback,6-0,190.0,Freshman,HS,"North Las Vegas, Nev.",Bishop Gorman HS,
41,30.0,Greg Penn III,Linebacker,6-2,235.0,Junior,2L,"Baltimore, Md.",DeMatha Catholic HS,
42,31.0,Nathan Dibert,Placekicker,5-11,210.0,Sophomore,1L,"Hartland, Mich.",Hartland HS,
43,31.0,Everett Garard,Cornerback,5-9,187.0,Redshirt Sophomore,SQ,"Atlanta, Ga.",North Gwinnett HS,
44,32.0,Kolton Crochet,Safety,6-1,210.0,Freshman,HS,"Gleason, Tenn.",Gleason HS,
45,32.0,Jack Rilling,Wide Receiver,5-8,182.0,Redshirt Sophomore,SQ,"Madison, Wisc.",St. Cloud HS,
46,33.0,Javen Nicholas,Wide Receiver,5-9,181.0,Redshirt Freshman,RS,"New Orleans, La.",St. Augustine HS,
47,33.0,West Weeks,Linebacker,6-2,238.0,Junior,1L,"Watkinsville, Ga.",Oconee County HS,Virginia
48,34.0,Damian Ramos,Placekicker,6-2,185.0,Redshirt Sophomore,1L,"Baltimore, Md.",St. Paul's HS,
49,34.0,Ryan Robinson Jr.,Defensive Back,5-11,175.0,Freshman,HS,"New Orleans, La.",Edna Karr HS,
50,35.0,Sai'vion Jones,Defensive End,6-6,268.0,Junior,2L,"Vacherie, La.",St. James HS,
51,36.0,Dylan Brown,Cornerback,6-0,190.0,Redshirt Sophomore,SQ,"Katy, Texas",Katy HS,
52,36.0,Nick Demas,Running Back,5-11,201.0,Redshirt Junior,2L,"Westfield, Ind.",Guerin Catholic HS,
53,37.0,RJ Willis,Wide Receiver,6-0,185.0,Redshirt Sophomore,SQ,"Riverside, Calif.",Centennial HS,
54,38.0,Malachi Lane,Running Back,6-0,215.0,Sophomore,SQ,"Spring Branch, Texas",Smithson Valley HS,
55,38.0,Peyton Todd,Punter,6-5,240.0,Redshirt Sophomore,SQ,"West Monroe, La.",West Monroe HS,
56,39.0,Ezekeal Mata,Placekicker,5-11,193.0,Redshirt Junior,SQ,"San Marcos, Calif.",Mission Hills HS,
57,39.0,Tyson Short,Cornerback,6-2,195.0,Freshman,HS,"San Antonio, Texas",Brandeis HS,
58,40.0,Whit Weeks,Linebacker,6-3,217.0,Freshman,HS,"Watkinsville, Ga.",Oconee County HS,
59,41.0,Welton Spottsville,Safety,6-0,218.0,Junior,TR,"Havelock, N.C.",Havelock HS,Kennesaw St.
60,42.0,Lane Blue,Linebacker,6-0,252.0,Redshirt Sophomore,1L,"Chatham, La.",Neville HS,
61,43.0,Matt Jayne,Linebacker,5-8,193.0,Junior,1L,"Kenner, La.",John Curtis HS,McNeese
62,44.0,Slade Roy,Deep Snapper,6-3,225.0,Junior,1L,"Charlotte, N.C.",South Mecklenburg HS,East Carolina
63,45.0,GiVanni Peterson,Tight End,6-4,252.0,Redshirt Sophomore,SQ,"Highlands Ranch, Colo.",Valor Christian HS,
