,Statistic,#,Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Previous School,Twitter,Instagram,Image,Title
42,,25.0,Keyshon Mills,CB,6-1,175.0,Fr.,"Little Elm, Texas / Little Elm",,,,,
43,,26.0,Jason Oliver,CB,6-0,175.0,Fr.,"Bakersfield, Calif. / Liberty",,,,,
44,,27.0,Nigel Bethel Jr.,CB,6-0,180.0,Jr.,"Miami, Fla. / Northwestern/Miami",,@f5_nigel,straightjacket14,,
45,,27.0,Dominick Mastro,TB,5-10,180.0,So.,"Scottsdale, Ariz. / Notre Dame Prep/Arizona State",,,,,
46,,28.0,Ben Finneseth,OLB,6-1,205.0,Fr.,"Durango, Colo. / Durango",,,,,
47,,29.0,Isaac Hurtado,ILB,6-3,230.0,So.,"Cypress, Calif. / Cypress/Fullerton CC",,,,,
48,,30.0,Braden Keith,CB,5-10,170.0,Fr.,"Broomfield, Colo. / Legacy",,,,,
49,,31.0,Caiden Robertson,LB,6-2,205.0,So.,"San Clemente, Calif. / San Clemente/Saddleback CC",,,,,
50,,32.0,Aubrey Smith,ILB,6-3,225.0,Fr.,"Atlanta, Ga. / Buford",,,,,
51,,33.0,Joshka Gustav,OLB,6-3,235.0,So.,"Cherry Valley, Calif. / Aquinas",,@joshkag,joshka94,,
52,,33.0,Christian Sarem,TB,6-2,220.0,Fr.,"Carlsbad, Calif. / Carlsbad",,,,,
53,,34.0,Dante Capolungo,DB,5-11,175.0,Fr.,"Littleton, Colo. / Dakota Ridge",,,,,
54,,35.0,Mister Williams,ILB,6-0,250.0,Fr.,"Westlake Village, Claif. / Oaks Christian",,@misterwill35,misterwilliamsss,,
55,,36.0,Cole Becker,PK,6-3,230.0,So.,"Roseville, Calif. / Rocklin",,@colebecker01,colehbecker,,
56,,37.0,Trey Ortega III,S,6-0,195.0,So.,"Broomfield, Colo. / Broomfield",,@tr3yortega,tr3yortega,,
57,,38.0,Brady Russell,TE,6-3,250.0,Sr.,"Fort Collins, Colo. / Fossil Ridge",,@brady_russell5,brady_russell,,
58,,38.0,Mac Willis,CB,6-3,175.0,So.,"Centennial, Colo. / Cherry Creek",,@macwillis35,mac.willis,,
59,,39.0,Austin Dahlke,S,6-1,175.0,Fr.,"Edgar, Wis. / Edgar",,,,,
60,,40.0,Shakaun Bowser,OLB,6-4,230.0,Fr.,"Queen Creek, Ariz. / Casteel",,,,,
61,,41.0,Anthony Lyle,S,6-0,205.0,Sr.,"Lafayette, Colo. / Legacy",Eastern Michigan,Lildeionlyle21,anthonydeion21,,
62,,42.0,Liam McGannon,CB,5-10,180.0,Fr.,"San Francisco, Calif. / St. Ignatius Prp",,,,,
63,,43.0,Trevor Woods,S,6-1,200.0,So.,"Katy, Texas / James E. Taylor",,@trevorw_43,trevorw_43,,
64,,44.0,Devin Grant,OLB,6-3,260.0,Fr.,"San Antonio, Texas / Antonian Prep",,@devingrant028,devingranttt,,
65,,44.0,Charlie Offerdahl,TB,5-11,185.0,Fr.,"Littleton, Colo. / Dakota Ridge",,,,,
66,,45.0,Noah Hubbard,P,6-3,175.0,Fr.,"Louisville, Colo. / Monarch",,Noahjhubbard,Hubbard.noah,,
67,,47.0,Kaden Ludwick,OLB,6-5,230.0,Fr.,"Happy Valley, Ore. / Clackamas",,,,,
68,,48.0,Zion Magalei,OLB,6-2,230.0,Fr.,"Chandler, Ariz. / Chandler",,@zionmagalei,zionmagalei,,
69,,49.0,Trent Carrizosa,P,6-2,245.0,Fr.,"San Jose, Calif. / Del Mar",,,,,
70,,51.0,Thomas Notarainni,ILB,6-3,225.0,Fr.,"San Diego, Calif. / Cathedral Catholic",,,,,
71,,51.0,Jack Seavall,OL,6-7,285.0,So.,"Centennial, Colo. / Arapahoe",,jack_seavall,jack_seavs,,
72,,52.0,Luke Eckardt,OL,6-6,290.0,Fr.,"Spring Grove, Ill. / Richmond Burton/Arizona",,,,,
73,,52.0,Jack Remington,LB,6-3,195.0,Fr.,"Boulder, Colo. / Fairview",,,,,
74,,53.0,Noah Fenske,OL,6-5,305.0,So.,"New Hampton, Iowa / New Hampton/Iowa",,Nfenske53,n.j.f.53,,
75,,54.0,Terrance Lang,DE,6-7,265.0,Sr.,"Pomona, Calif. / Maranatha",,@tlang_0,tlang_54,,
76,,55.0,Van Wells,OL,6-2,290.0,Fr.,"Houston, Texas / C.E. King",,,,,
77,,56.0,Jackson Anderson,OL,6-4,295.0,Fr.,"Mineola, Texas / Mineola",,@J4ckson_a52,J4ckson_a,,
78,,56.0,Mason Maddox,DL,6-3,290.0,Fr.,"Aurora, Colo. / Cherokee Trail",,mason__maddox,mason___maddox,,
79,,57.0,Cameron Warchuck,SN,6-0,230.0,Fr.,"Norco, Calif. / Norco",,,,,
80,,60.0,Jake Wiley,OL,6-6,310.0,So.,"Centnnial, Colo. / Eaglecrest",,@jake_wiley14,jakewiley60,,
81,,64.0,Austin Johnson,OL,6-4,300.0,So.,"Highlands Ranch, Colo. / Highlands Ranch",,@bigsalsa101,iamaustinjohnson64,,
82,,65.0,Alex Harkey,OT,6-6,305.0,So.,"Austin, Texas / Hays/Tyler JC",,,,,
83,,68.0,Edgar Amaya,OL,6-2,310.0,Fr.,"Russellville, Ala. / Russellville",,1kksosa,1kksosa,,
84,,69.0,Gerad Christian-Lichtenhan,OL,6-10,315.0,So.,"Davis, Calif. / Davis",,@geradlichtenhan,gerad_lichtenhan,,
85,,70.0,Casey Roddick,OL,6-4,310.0,Jr.,"Ventura, Calif. / St. Bonaventure",,@cubuffsfootball,casedogg1,,
86,,72.0,Travis Gray,OT,6-7,305.0,Fr.,"Aurora, Colo. / Cherokee Trail",,,,,
87,,73.0,Ben Reznik,OL,6-6,290.0,Fr.,"Deerfield, Ill. / Deerfield",,Benreznik1,Ben_reznik,,
88,,74.0,John Ramirez,OL,6-5,290.0,Fr.,"Placentia, Calif. / El Dorado",,,,,
89,,75.0,Tommy Brown,OT,6-7,320.0,Gr.,"Santa Ana, Calif. / Mater Dei",Alabama,,,,
90,,76.0,Frank Fillip,OL,6-7,295.0,Jr.,"Houston, Texas / Clear Lake",,@Frank-Fillip,frank_fillip,,
91,,77.0,Carter Edwards,OT,6-5,280.0,Fr.,"Hattiesburg, MIss. / Presbyterian Christian",,,,,
92,,79.0,Camden Dempsey,OL,6-2,260.0,Fr.,"Lakewood, Colo. / Lakewood",,CamdenDempsey,Camden_Dempsey,,
93,,80.0,Ty Robinson,WR,6-3,195.0,So.,"Aurora, Colo. / Eaglecrest",,@therealty32,yeah._ty,,
