,Statistic,No.,Name,Pos.,Ht.,Wt.,Year,Hometown,High School / Previous School,Twitter,Instagram,Image,Title
15,,14.0,Kris Abrams-Draine,DB,5-11,178.0,Jr.,"Mobile, Ala.",Spanish Fort,KD1ERA,bankroll.kris,,
16,,14.0,Brett Brown,QB,6-1,192.0,R-Fr.,"Brentwood, Tenn.",Battle Ground Academy,brett13brown,brett13brown,,
17,,15.0,Tommy Lock,QB,6-3,172.0,R-So.,"Lee's Summit, Mo.",Lee's Summit,Tommylock5,tommylock5,,
18,,15.0,"Johnny Walker, Jr.",DL,6-3,244.0,Jr.,"Tampa, Florida",Chamberlain,JohnnyW15_,blaxklabel_,,
19,,17.0,Taj Butts,RB,5-10,210.0,So.,"St. Louis, Mo.",De Smet,TajButts,taj._._,,
20,,17.0,Tyler Hibbler,DB,5-11,186.0,R-So.,"St. Louis, Mo.",Trinity Catholic,t_hibb2x,t_hibb2x,,
21,,18.0,Demariyon 'Peanut' Houston,WR,5-10,187.0,R-Sr.,"Oklahoma City, Okla.",Millwood / Nebraska / Hutchinson C.C.,demariyon5,demariyon_,,
22,,19.0,Dreyden Norwood,DB,6-0,184.0,R-So.,"Fort Smith, Ark.",Northside / Texas A&M,DreydenNorwood,dreydennorwood,,
23,,20.0,Cody Schrader,RB,5-9,214.0,Gr.,"St. Louis, Mo.",Lutheran South / Truman State,thebeast_cody,codyschrader7,,
24,,21.0,Sam Horn,QB,6-4,219.0,R-Fr.,"Lawrenceville, Ga.",Collins Hill,_sam_horn,_sam.horn,,
25,,21.0,Tyler Jones,DB,5-11,197.0,R-Jr.,"Orlando, Fla.",West Orange,Tyler21_Jones,tylerjones.21,,
26,,22.0,Tavorus Jones,RB,5-9,197.0,R-Fr.,"El Paso, Texas",Burges,Tavorus3,tavorus.jones,,
27,,22.0,Will Norris,LB,6-1,237.0,Jr.,"Columbia, Mo.",Rock Bridge,Will_Norris25,will.norris,,
28,,24.0,Marcus Scott II,DB,5-11,180.0,R-Fr.,"Houston, Texas",Conroe,MarcusScottII1,kingscottgr8,,
29,,25.0,Ja'Marion Wayne,DB,6-2,195.0,R-Fr.,"St. Louis, Mo.",Parkway West,Jamarionwayne2,oa.wayne,,
30,,26.0,Xavier Simmons,LB,6-2,242.0,R-Fr.,"Greensboro, N.C.",Northwest Guilford,Xmansimmons,xsimmons6_,,
31,,28.0,Joseph Charleston,DB,6-0,195.0,Sr.,"Milton, Ga.",Milton / Clemson,jcharleston28,josephcharleston,,
32,,29.0,Marcus Clarke,DB,5-11,182.0,Sr.,"Winter Park, Fla.",Winter Park / Miami,,,,
33,,30.0,Chuck Hicks,LB,6-1,230.0,Gr.,"San Diego, Calif.",Lincoln / Wyoming,_hicks5,charleshicks5,,
34,,31.0,Anthony Favrow,RB,5-8,193.0,R-Fr.,"San Clemente, Calif.",Olathe West (Kan.),AnthonyFavrow,antfav,,
