,Statistic,No.,Full Name,Ht.,Wt.,Pos.,Yr.,Hometown,Last School,Instagram,Twitter,Image,Name,Title
21,,21.0,"Coit, Jalen",5-11,170.0,WR,R-So.,"Cheraw, S.C.",Cheraw,coitj_7,JalenCoit_,,,
22,,86.0,"Collins, DJ",6-4,215.0,WR,R-So.,"Atlanta, Ga.",Westlake,d.coll2,Gods__gift3,,,
23,,80.0,"Concepcion, Kevin ""KC""",5-11,180.0,WR,Fr.,"Charlotte, N.C.",Chambers,kcthekid2,Kcthekid2,,,
24,,56.0,"Cooper, Lyndon",6-2,312.0,OL,R-So.,"Atlanta, Ga.",Carrollton,lyndon.56,LyndonCooper5,,,
25,,83.0,"Crabtree, Josh",6-3,205.0,WR,R-So.,"Wake Forest, N.C.",Heritage,joshcrabtree83,jcrabtree34,,,
26,,30.0,"Crowell, Isaiah",5-10,182.0,DB,R-Fr.,"Kernersville, N.C.",E. Forsyth,isaiahcrowell_,IsaiahCrowell9,,,
27,,22.0,"Crowell, Micah",6-1,220.0,RB,R-So.,"Winston-Salem, N.C.",East Forsyth,iammicahcrowell,CrowellMicah,,,
28,,62.0,"Davis, Jaleel",6-6,310.0,OL,R-So.,"Hamlet, N.C.",Richmond Senior,jaleelthegenie_,jaleeldavis2,,,
29,,53.0,"Eason, Derrick",6-4,315.0,OL,Gr.,"Norfolk, Va.",Norview,d3ason,derrickeason9,,,
30,,24.0,"Edmundson, Darius",6-0,180.0,DB,R-Sr.,"Middlesex, N.C.",Southern Nash,d.famous24,@dFamous24,,,
