,Statistic,#,Full Name,Year,Pos.,Ht.,Wt.,Hometown,Current School Name,High School,Last Team,Image,Name,Title
22,,10.0,Chris Shearin,R-So.,DB,5113.0,197.0,"Suffork, VA",UConn,King Fork HS,Missouri,,,
23,,11.0,Marquez Bembry,Gr.,LB,6030.0,242.0,"Stone Mountain, Ga.",UConn,Mt. Vernon Presbyterian,University of Kentucky,,,
24,,11.0,Zion Turner,Fr.,QB,5116.0,198.0,"Fort Lauderdale, FL",UConn,St. Thomas Aquinas HS,,,,
25,,12.0,Tyler Phommachanh,R-Fr.,QB,5102.0,182.0,"Stratford, Conn.",UConn,Avon Old Farms School,,,,
26,,14.0,Malcolm Bell,R-Fr.,DB,6015.0,185.0,"Montreal, QC",UConn,Clarkson Football North,,,,
27,,14.0,Nick Harris,So.,TE,6066.0,238.0,"Marriottsville, Md.",UConn,Marriotts Ridge,,,,
28,,15.0,Tui Faumuina-Brown,So.,LB,6027.0,223.0,"Pittsburgh, Pa.",UConn,Gateway,,,,
29,,16.0,George Caratan,R-So.,P,6020.0,210.0,"Delano, CA",UConn,Loyola HS,Arkansas,,,
30,,16.0,Kevens Clercius,R-So.,WR,6022.0,208.0,"Montreal, Quebec",UConn,Henri-Bourassa,,,,
31,,17.0,Justin Joly,Fr.,TE,6037.0,228.0,"New Rochelle, NY",UConn,Iona Prep,,,,
32,,17.0,Noe Ruelas,So.,K,6005.0,197.0,"West Hartford, Conn.",UConn,Hall,,,,
33,,18.0,Kylish Hicks,Fr.,WR,5117.0,194.0,"Pikesville, MD",UConn,Mergenthaler Vocational Tech,,,,
34,,18.0,Jaylen Jones,R-So.,LB,6002.0,210.0,"Houston, Texas",UConn,Hastings,,,,
35,,19.0,Kevin Dunn,R-So.,WR,6017.0,198.0,"Berlin, Conn.",UConn,Berlin,Sacred Heart,,,
36,,19.0,Durante Jones,So.,DB,6003.0,188.0,"Atlanta, Ga.",UConn,Mays,,,,
37,,20.0,D'Mon Brinson,Fr.,DB,5091.0,187.0,"Fort Lauderdale, FL",UConn,Dillard HS,,,,
38,,21.0,Lee Molette III,Fr.,DB,6017.0,184.0,"Brentwood, TN",UConn,"Ravenwood, HS",,,,
39,,22.0,Victor Rosa,Fr.,RB,5110.0,198.0,"Bristol, CT",UConn,Bristol Central HS,,,,
40,,23.0,Juan Rosario,Jr.,DB,5111.0,178.0,"Stamford, Conn.",UConn,Saint Luke's School,,,,
41,,24.0,Desmond Fogle,So.,LB,6010.0,212.0,"Kingsland, Ga.",UConn,Camden County,,,,
42,,25.0,Devontae Houston,So.,RB,5100.0,163.0,"Roanoke, Ala.",UConn,Handley,,,,
43,,26.0,Nathan Carter,So.,RB,5093.0,196.0,"Rochester, N.Y.",UConn,Bishop Kearney,,,,
44,,26.0,Isiah Davis,Fr.,DB,6003.0,184.0,"Fairburn, GA",UConn,Creekside HS,,,,
