,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Current School Name,Custom Field 1
117,,80.0,Eamonn Dennis,WR,5-10,184.0,Jr.,"Worcester, Mass. / St. John's",Michigan,
118,,80.0,Hunter Neff,TE,6-3,231.0,Sr.,"Chelsea, Mich. / Chelsea",Michigan,
119,,81.0,Louis Hansen,TE,6-5,245.0,So.,"Dover, Mass. / St. Sebastian's",Michigan,
120,,81.0,Peyton O'Leary,WR,6-3,195.0,So.,"Byfield, Mass. / Governor's Academy",Michigan,
121,,82.0,Max Bredeson,TE,6-2,232.0,So.,"Hartland, Wisc. / Arrowhead",Michigan,
122,,83.0,Erick All,TE,6-5,255.0,Sr.,"Fairfield, Ohio / Fairfield",Michigan,
123,,84.0,Joel Honigford,TE,6-6,260.0,Gr.,"Sugarcreek, Ohio / Garaway",Michigan,
124,,84.0,Sam Staruch,WR,6-1,182.0,Jr.,"Lake Orion, Mich. / Lake Orion",Michigan,
125,,85.0,Cristian Dixon,WR,6-2,195.0,So.,"Santa Ana, Calif. / Mater Dei",Michigan,
126,,86.0,Luke Schoonmaker,TE,6-6,250.0,5th,"Hamden, Conn. / Hamden Hall",Michigan,
127,,88.0,Mathew Harrison,WR,6-3,205.0,Sr.,"Ortonville, Mich. / Brandon",Michigan,
128,,88.0,Matthew Hibner,TE,6-5,245.0,Jr.,"Burke, Va. / Lake Braddock",Michigan,
129,,89.0,Carter Selzer,TE,6-8,257.0,Gr.,"Kansas City, Mo. / Rockhurst",Michigan,
130,,90.0,Mike Morris,EDGE,6-6,292.0,Sr.,"Belle Glade, Fla. / American Heritage",Michigan,
131,,91.0,Brad Robbins,P,6-1,205.0,Gr.,"Westerville, Ohio / Westerville South",Michigan,
132,,91.0,Taylor Upshaw,EDGE,6-4,255.0,Gr.,"Bradenton, Fla. / Braden River",Michigan,
133,,92.0,Ike Iwunnah,DL,6-3,321.0,So.,"Garland, Texas / Lakeview Centennial",Michigan,
134,,93.0,Joseph Klunder,EDGE,6-3,253.0,Fr.,"Grosse Pointe, Mich. / Grosse Pointe South",Michigan,
135,,93.0,Charlie Mentzer,K/P,6-2,193.0,So.,"Northville, Mich. / Detroit Catholic Central",Michigan,
136,,94.0,Kris Jenkins,DL,6-3,285.0,Jr.,"Olney, Md. / Our Lady Good Counsel",Michigan,
137,,95.0,Chibi Anwunah,EDGE,6-5,242.0,Fr.,"Canton, Mich. / Plymouth Christian Academy",Michigan,
138,,96.0,Julius Welschof,EDGE,6-7,266.0,Gr.,"Miesbach, Bavaria, Germany / FOS Altoetting",Michigan,
139,,99.0,Cam Goode,DL,6-2,323.0,Gr.,"Washington, D.C. / St. John's College",Michigan,
