,Statistic,No.,Name,Pos.,Ht.,Wt.,Year,Hometown/High School/Previous School,Current School Name,Image,Title
106,,90.0,Brandon Brown,DL,6-2,305.0,Jr.,"Katy, Texas/Morton Ranch HS/Tulane",UTSA,,
107,,91.0,Ethan Laing,P,5-11,200.0,R-So.,"Boerne, Texas/Champion HS",UTSA,,
108,,92.0,Matthew O'Brien,PK,5-9,175.0,R-So.,"New Braunfels, Texas/New Braunfels HS/Tyler JC",UTSA,,
109,,94.0,Joe Evans,DL,6-3,340.0,Sr.,"Haynesville, La./Haynesville HS/LSU",UTSA,,
110,,95.0,Christian Clayton,DL,6-2,310.0,R-Sr.,"Fort Worth, Texas/South Hills HS",UTSA,,
111,,98.0,Tai Leonard,DL,6-4,255.0,So.,"Houston, Texas/North Shore HS",UTSA,,
112,,99.0,Chace Davis,DL,6-4,280.0,So.,"Long Beach, Calif./La Serna HS/Nevada/East Los Angeles CC",UTSA,,
113,,99.0,Brandon Matterson,DL,6-2,290.0,R-Sr.,"San Antonio, Texas/Brandeis HS",UTSA,,
0,,,Jeff Traylor,,,,,,UTSA,,Head Coach
1,,,Justin Burke,,,,,,UTSA,,Offensive Coordinator/Tight Ends
2,,,Jess Loepp,,,,,,UTSA,,Defensive Coordinator/Safeties
3,,,Jarrett Anderson,,,,,,UTSA,,Assistant Offensive Line
4,,,Sean Davis,,,,,,UTSA,,Quarterbacks
5,,,Nick Graham,,,,,,UTSA,,Defensive Pass Game Coordinator/Cornerbacks
6,,,Julian Griffin,,,,,,UTSA,,Running Backs/NFL Liaison
7,,,Siddiq Haynes,,,,,,UTSA,,Defensive Line
8,,,Joe Price,,,,,,UTSA,,Associate Head Coach/Pass Game Coordinator/Wide Receivers
9,,,Brad Sherrod,,,,,,UTSA,,Linebackers
10,,,Kurt Traylor,,,,,,UTSA,,Run Game Coordinator/Offensive Line
11,,,Pavit Patel,,,,,,UTSA,,Senior Analyst (Offense)
12,,,Colton Traylor,,,,,,UTSA,,Senior Analyst (Offense)
13,,,Aaron Green,,,,,,UTSA,,Analyst (Offense)
14,,,Chris Roberts,,,,,,UTSA,,Analyst (Special Teams)
15,,,Dylan Sams,,,,,,UTSA,,Analyst (Special Teams)
16,,,Zak Sauve,,,,,,UTSA,,Analyst (Defense)
17,,,Steven Stadler,,,,,,UTSA,,Analyst (Defense)
18,,,Elijah McQueen,,,,,,UTSA,,Graduate Assistant (Defense)
19,,,Tyler Preston,,,,,,UTSA,,Graduate Assistant (Offense)
20,,,Tim Yoder,,,,,,UTSA,,Graduate Assistant (Offense)
0,,,Matt Turner,,,,,,UTSA,,Chief of Staff
1,,,Mike Giglio,,,,,,UTSA,,General Manager
2,,,Andrew Acosta,,,,,,UTSA,,Coordinator of Football Operations
3,,,Zach Brown,,,,,,UTSA,,Director of Player Personnel
4,,,Jermial Ashley,,,,,,UTSA,,Assistant Director of Player Personnel
5,,,Hunter Rittimann,,,,,,UTSA,,Director of High School Relations
6,,,Damon Williams,,,,,,UTSA,,Player Development Coordinator
7,,,James Gellido,,,,,,UTSA,,Administrative Associate
8,,,Josh Alvarez,,,,,,UTSA,,Operations Assistant
9,,,Alex Nicasio,,,,,,UTSA,,Football Video Coordinator
10,,,Joshua Guerra,,,,,,UTSA,,Production Assistant
11,,,Allison Maguire,,,,,,UTSA,,Production Assistant
12,,,Ryan Filo,,,,,,UTSA,,Assistant AD/Sports Performance
13,,,Esteban Doria,,,,,,UTSA,,Senior Associate Director/Performance
14,,,Dexter Molinaro,,,,,,UTSA,,Associate Director/Sports Performance
15,,,Rodney Humphrey II,,,,,,UTSA,,Assistant Sports Performance Coach
16,,,Sean Wilkinson,,,,,,UTSA,,Assistant Sports Performance Coach
17,,,Nik Turner,,,,,,UTSA,,Head Athletic Trainer/Football
18,,,Brian Benitez,,,,,,UTSA,,Senior Assistant Athletic Trainer/Football
19,,,Sam Hinojosa,,,,,,UTSA,,Assistant Athletic Trainer/Football
20,,,Justine Humphrey,,,,,,UTSA,,Resident Athletic Trainer/Football
21,,,Anthony Fortier,,,,,,UTSA,,Assistant AD/Equipment Operations
