,Statistic,#,Full Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Current School Name,Previous School,Exp.,Image,Name,Title
94,,92.0,"Granados, Dante",DT,6-0,283.0,R-So.,"El Paso, Texas / Chapin HS",UTEP,,,,,
95,,94.0,"Rudolph, Jalen",DT,6-0,266.0,R-Jr.,"Baton Rouge, La. / Junipero Serra HS",UTEP,,,,,
96,,97.0,"Vaughn, Kanious",DE,6-2,223.0,So.,"San Clemente, Calif. / San Clemente HS",UTEP,Saddleback College,,,,
97,,98.0,"Va’a, Logologo",DT,6-3,292.0,R-Fr.,"Santa Barbara, Calif. / Bishop Garcia HS",UTEP,,,,,
98,,99.0,"Tonga’uiha, Sione",DT,6-0,295.0,Jr.,"Tempe, Ariz. / Tempe HS",UTEP,,,,,
0,,,,,,,,,UTEP,,,,Dana Dimel,Head Coach
1,,,,,,,,,UTEP,,,,Scotty Ohara,Offensive Coordinator
2,,,,,,,,,UTEP,,,,Bradley Dale Peveto,Defensive Coordinator
3,,,,,,,,,UTEP,,,,Aaron Price,Special Teams Coordinator
4,,,,,,,,,UTEP,,,,Barrick Nealy,Assistant Head Coach/Running Backs
5,,,,,,,,,UTEP,,,,Mike Simmonds,Offensive Line
6,,,,,,,,,UTEP,,,,Matt Wallerstedt,Associate Head Coach/Defensive Run Coordinator/Defensive Line
7,,,,,,,,,UTEP,,,,Drew Liddle,Tight Ends/Fullbacks
8,,,,,,,,,UTEP,,,,Dante Barnett,Safeties
9,,,,,,,,,UTEP,,,,Josh Brown,Defensive Pass Game Coordinator
10,,,,,,,,,UTEP,,,,James Bain,Assistant Offensive Line/Assistant Special Teams
11,,,,,,,,,UTEP,,,,Tramaine Thompson,Quality Control - Offense
12,,,,,,,,,UTEP,,,,Ryan Alexander,Graduate Assistant - Defense
13,,,,,,,,,UTEP,,,,Nick Ast,Graduate Assistant - Offense
14,,,,,,,,,UTEP,,,,Winston Dimel,Graduate Assistant - Offense
15,,,,,,,,,UTEP,,,,Seth Newsome,Graduate Assistant - Defense
0,,,,,,,,,UTEP,,,,Nate Poss,Assistant Athletic Director/Football Operations
1,,,,,,,,,UTEP,,,,Jimmy Gonzales,Director of Recruiting/Player Personnel
2,,,,,,,,,UTEP,,,,Kevin Schadt,Director of Strength and Conditioning
3,,,,,,,,,UTEP,,,,Sekou Walker,Head Equipment Manager
4,,,,,,,,,UTEP,,,,Justin Garrett,Director of Player Personnel
5,,,,,,,,,UTEP,,,,Marvin Lewis,Video Coordinator
6,,,,,,,,,UTEP,,,,Norma Posada,Administrative Assistant I
