,Statistic,#,Full Name,Pos.,Ht.,Wt.,Class,Hometown / High School,Current School Name,Previous School,Instagram,Twitter,Image,Name,Title
72,,92.0,Asani Redwood,DL,6-3,306.0,R-Fr.,"Suwanee, Ga. / Collins HIll",West Virginia,,asani_92_,AsaniRedwood,,,
73,,55.0,Tomas Rimac,OL,6-6,314.0,R-So.,"Brunswick, Ohio / Brunswick",West Virginia,,t.rimac,rimact5,,,
74,,12.0,Jake Robbins,QB,6-1,204.0,R-So.,"Kinnelon, N.J. / Don Bosco Prep",West Virginia,,jake12Robbins,jake_robbins8,,,
75,,14.0,Malachi Ruffin,CB,5-10,197.0,R-Sr.,"Nashville, N.C. / Nash Central",West Virginia,,_mruffin,MRuffin2,,,
76,,94.0,Hammond Russell IV,DL,6-3,300.0,R-So.,"Dublin, Ohio / Dublin Coffman",West Virginia,,hammondrussell_iv,lildukes3,,,
77,,70.0,Shawn See,OL,6-10,324.0,R-So.,"Keyser, W.Va. / Keyser",West Virginia,,shawn_see1,shawnsee75,,,
78,,29.0,Deuce Shabazz II,CB,5-11,188.0,R-Fr.,"Marietta, Ga. / Harrison",West Virginia,,,,,,
79,,17.0,Jaylon Shelton,DB,6-2,189.0,R-Jr.,"New London, Texas / West Rusk",West Virginia,Tyler JC,,,,,
80,,45.0,Taurus Simmons,BAN,6-2,247.0,So.,"Savannah, Ga. / Jenkins",West Virginia,,t.4five,taurus_simmons1,,,
81,,6.0,Jacolby Spells,DB,5-11,183.0,So.,"Fort Lauderdale, Fla. / American Heritage",West Virginia,,jacolbyspells,drippy4k_,,,
82,,31.0,Christion Stokes,DB,6-0,198.0,R-Fr.,"Harper Woods, Mich. / Harper Woods",West Virginia,,st6kes,christionstokes,,,
83,,19.0,Sam Stoner,QB,5-11,208.0,Fr.,"York, Pa. / William Penn Senior",West Virginia,,,,,,
84,,41.0,Oliver Straw,P,6-2,208.0,So.,"Melbourne, Australia / Mentone Grammar School",West Virginia,,,Ollie_Straw,,,
85,,99.0,Ronan Swope,P,5-11,158.0,R-So.,"King of Prussia, Pa. / Malvern Prep",West Virginia,,,,,,
86,,87.0,Kole Taylor,TE/FB,6-7,243.0,Jr.,"Grand Junction, Colo. / Central",West Virginia,LSU,,,,,
87,,37.0,Keaton Thomas,DB,6-1,217.0,R-Fr.,"Jacksonville, Fla. / Trinity Christian",West Virginia,,,,,,
88,,52.0,Jalen Thornton,DL,6-2,283.0,R-Jr.,"Cincinnati, Ohio / Indian Hill",West Virginia,,jalen_thornton,,,,
89,,48.0,Gene Townsel,LB,5-11,193.0,R-Fr.,"Colonial Heights, Va. / Life Christian Academy",West Virginia,,,,,,
90,,40.0,Josiah Trotter,LB,6-2,236.0,Fr.,"Philadelphia, Pa. / Saint Joseph's Prep",West Virginia,,,,,,
91,,96.0,Edward Vesterinen,DL,6-3,284.0,Jr.,"Helsinki, Finland / French Finnish School of Helsinki",West Virginia,,eduves,vesedward,,,
92,,56.0,Sullivan Weidman,OL,6-5,311.0,R-Fr.,"Franklin, Mass. / Dexter Southfield",West Virginia,,sullyweidman,sullyweidman,,,
93,,49.0,Austin Welch,LB,5-10,216.0,R-Fr.,"Huntingtown, Md. / Huntingtown",West Virginia,,,,,,
94,,22.0,Jahiem White,RB,5-7,185.0,Fr.,"York, Pa. / William Penn",West Virginia,,,,,,
95,,82.0,Victor Wikstrom,TE/FB,6-4,264.0,R-So.,"Uppsala, Sweden / RIG Celsiusskolan",West Virginia,,victor_wikstrom_82,victor_wikstrom,,,
96,,34.0,Avery Wilcox,S,6-0,201.0,R-So.,"Ft. Mill, S.C. / Ft. Mill",West Virginia,,avery_wilcox,averyjwilcox,,,
97,,10.0,Jarel Williams,WR,6-2,203.0,R-Fr.,"Saraland, Ala. / Saraland",West Virginia,,jarel.w,jarelwilliams8,,,
98,,60.0,Johnny Williams IV,OL,6-7,316.0,Fr.,"Macon, Ga. / Northeast",West Virginia,,,,,,
99,,7.0,Andrew Wilson-Lamp,CB,6-2,173.0,R-So.,"Massillon, Ohio / Massillon Washington",West Virginia,,slim_drewski,slim_drew4,,,
100,,50.0,Brandon Yates,OL,6-4,309.0,R-Jr.,"Middletown, Del. / Liberty (Las Vegas, Nev.)",West Virginia,,thebrandonyates,flyguy_brandon1,,,
0,,,,,,,,,West Virginia,,,,,Neal Brown,Head Coach
1,,,,,,,,,West Virginia,,,,,Matt Moore,Assistant Head Coach (Offensive Line)
2,,,,,,,,,West Virginia,,,,,Jordan Lesley,Assistant Coach (Defensive Coordinator/Outside Linebackers)
3,,,,,,,,,West Virginia,,,,,Chad Scott,Assistant Coach (Offensive Coordinator/Running Backs)
4,,,,,,,,,West Virginia,,,,,ShaDon Brown,Assistant Coach (Co-Defensive Coordinator/Defensive Backs)
5,,,,,,,,,West Virginia,,,,,Jeff Koonz,Assistant Coach (Special Teams Coordinator/Inside Linebackers)
6,,,,,,,,,West Virginia,,,,,Sean Reagan,Assistant Coach (Passing Game Coordinator/Quarterbacks)
7,,,,,,,,,West Virginia,,,,,Andrew Jackson,Assistant Coach (Defensive Line)
8,,,,,,,,,West Virginia,,,,,Bilal Marshall,Assistant Coach (Receivers)
9,,,,,,,,,West Virginia,,,,,Blaine Stewart,Assistant Coach (Tight Ends)
10,,,,,,,,,West Virginia,,,,,Dontae Wright,Assistant Coach (Safeties)
11,,,,,,,,,West Virginia,,,,,Mike Joseph,Assistant Athletics Director (Head Coach for Strength and Conditioning)
0,,,,,,,,,West Virginia,,,,,Steve Uryasz,Sport Administrator
1,,,,,,,,,West Virginia,,,,,Coleman Barnes,Senior Associate Athetics Director/Chief of Staff
2,,,,,,,,,West Virginia,,,,,Patrick Johnston,Assistant Athletics Director for Football Operations
3,,,,,,,,,West Virginia,,,,,Lori Rice,Administrative Associate
4,,,,,,,,,West Virginia,,,,,Clay Bollinger,Assistant Athletics Director - Creative/Digital
5,,,,,,,,,West Virginia,,,,,Mike Montoro,Assistant Athletics Director/Football Communications
6,,,,,,,,,West Virginia,,,,,Matt Jansen,Director of Personnel and Scouting
7,,,,,,,,,West Virginia,,,,,Rasheed Marshall,Director of Player Relations
8,,,,,,,,,West Virginia,,,,,Trey Neyer,Director of Recruiting
9,,,,,,,,,West Virginia,,,,,Taylor West,Director of On-Campus Recruiting/Assistant Director of Football Operations
10,,,,,,,,,West Virginia,,,,,Jake Herron,Associate Director of Recruiting Content
11,,,,,,,,,West Virginia,,,,,Andew Malewicz,Assistant Director of Creative Video
12,,,,,,,,,West Virginia,,,,,Harold Smith,Assistant Director of Graphic Design
13,,,,,,,,,West Virginia,,,,,Joshua Bailey,Assistant Director of Player Transition and Recruiting Communications
14,,,,,,,,,West Virginia,,,,,Demetri Wilson,Assistant Director of Recruiting Communications
15,,,,,,,,,West Virginia,,,,,Zack Fincher,Assistant Director of Chambers Elite Climbers
16,,,,,,,,,West Virginia,,,,,Sierra Sabin,On-Campus Recruiting Graduate Assistant
17,,,,,,,,,West Virginia,,,,,Jeff Casteel,Defensive Analyst/Director of High School Relations
18,,,,,,,,,West Virginia,,,,,Tyler Allen,Offensive Analyst
19,,,,,,,,,West Virginia,,,,,Jens Danielsen,Offensive Analyst
20,,,,,,,,,West Virginia,,,,,Randy Wilkins,Defensive Analyst
21,,,,,,,,,West Virginia,,,,,Tony Thompson,Special Teams Analyst
22,,,,,,,,,West Virginia,,,,,Cameron Hall,Assistant Director of Scouting
23,,,,,,,,,West Virginia,,,,,Tolbert Nance,Assistant Director of Scouting
24,,,,,,,,,West Virginia,,,,,Michael Crowe,Offensive Graduate Assistant
25,,,,,,,,,West Virginia,,,,,Nick Porreca,Offensive Graduate Assistant
26,,,,,,,,,West Virginia,,,,,Jevaughn Codlin,Defensive Graduate Assistant
27,,,,,,,,,West Virginia,,,,,Luke Nardo,Defensive Graduate Assistant
28,,,,,,,,,West Virginia,,,,,Jaysen Thompson,Defensive Graduate Assistant
29,,,,,,,,,West Virginia,,,,,Tucker Donati,Special Teams Graduate Assistant
30,,,,,,,,,West Virginia,,,,,Haley Bishop,Director of Sports Nutrition
31,,,,,,,,,West Virginia,,,,,Bailey Kassner,Dietitian
32,,,,,,,,,West Virginia,,,,,Alex Mitchell,Assistant Strength and Conditioning Coach
33,,,,,,,,,West Virginia,,,,,Nick Meadows,Assistant Strength and Conditioning Coach
34,,,,,,,,,West Virginia,,,,,Nolan Harvath,Assistant Strength and Conditioning Coach
35,,,,,,,,,West Virginia,,,,,Dr. A.J. Monseau,Medical Director/Head Team Physician
36,,,,,,,,,West Virginia,,,,,Vincent Blankenship,Assistant Athletics Director/Head Athletics Trainer
37,,,,,,,,,West Virginia,,,,,Zach Foster,Associate Director of Sports Medicine
38,,,,,,,,,West Virginia,,,,,Kelly Kessler,Assistant Director of Sports Medicine
39,,,,,,,,,West Virginia,,,,,Dan Nehlen,Equipment Manager
40,,,,,,,,,West Virginia,,,,,Austin Blake,Assistant Equipment Manager
41,,,,,,,,,West Virginia,,,,,Shawn Walker,Director of Video
42,,,,,,,,,West Virginia,,,,,Alex Leveille,Assistant Director of Coaches Video
43,,,,,,,,,West Virginia,,,,,Zach Seger,Associate Director of Academic Services
44,,,,,,,,,West Virginia,,,,,Sofía España Pérez,Clinical and Sport Behavior Health Therapist
45,,,,,,,,,West Virginia,,,,,Brett Rattan,Academic Counselor
46,,,,,,,,,West Virginia,,,,,Kristie Mills,Learning Specialist
47,,,,,,,,,West Virginia,,,,,Hunter Gorrell,Assistant Learning Specialist
