,Statistic,#,Name,Exp.,Pos.,Ht.,Wt.,Yr.,El.,Hometown / High School,Previous School,Image,Title
90,,84.0,C.J. Horton,,TE,6-5,230.0,Jr.,3.0,"Fort Scott, Kan. / Fort Scott",Kansas State-Iowa Western,,
91,,85.0,Andreas Paaske,*,TE,6-7,252.0,Jr.,3.0,"Copenhagen, Denmark / Søllerød Senior",Denmark Gold Diggers,,
92,,88.0,Blake Daniels,*,TE,6-6,225.0,Gr.,1.0,"Macomb, Mich. / L'Anse Creuse North",Davenport,,
93,,92.0,Alex Merritt,***,DL,6-2,292.0,Sr.,2.0,"Cincinnati, Ohio / Moeller",,,
94,,94.0,Peyton Price,**,DL,6-2,286.0,Jr.,3.0,"Lafayette, Ind. / Jefferson",,,
95,,95.0,Mikah Coleman,*,DL,6-5,245.0,Sr.,3.0,"Reynoldsburg, Ohio / Reynoldsburg",,,
96,,96.0,Adrian Gonzalez,*,DL,6-4,300.0,Sr.,1.0,"Leon, Mexico / Liceo Cancún",,,
97,,96.0,Ugo Nosike,,DL,6-4,295.0,So.,3.0,"South Holland, Ill. / Thornwood",Arizona-Butler C.C.,,
98,,97.0,Mikey Haney,***,DL,6-4,245.0,Gr.,2.0,"Maumee, Ohio / Maumee",,,
99,,98.0,Tim Grant-Randall,*,DL,6-0,283.0,Sr.,3.0,"Conroe, Texas / Oak Ridge",Blinn,,
100,,99.0,Melvin Swindle II,*,DL,6-3,288.0,Jr.,3.0,"Oklahoma City, Okla. / Heritage Hall",,,
0,,,Chris Creighton,,,,,,,,,,Head Coach
1,,,Sean Coughlin,,,,,,,,,,Assistant Head Coach/Co-Offensive Run Game Coordinator/Offensive Line
2,,,Bo Alexander,,,,,,,,,,Assistant Coach/Defensive Ends
3,,,Brandon Blaney,,,,,,,,,,Assistant Coach/Co-Offensive Run Game Coordinator/Tight Ends
4,,,Ben Needham,,,,,,,,,,Assistant Coach/Defensive Coordinator/Linebackers
5,,,Mike Piatkowski,,,,,,,,,,Assistant Coach/Quarterbacks
6,,,Munir Prince,,,,,,,,,,Assistant Coach/Cornerbacks
7,,,Issac Reed,,,,,,,,,,Assistant Coach/Running Backs
8,,,Dyrell Roberts,,,,,,,,,,Assistant Coach/Passing Game Coordinator/Wide Receivers
9,,,Jerone Steckel,,,,,,,,,,Assistant Coach/Defensive Tackles
10,,,Max James,,,,,,,,,,Graduate Assistant
11,,,Grant Kurzner,,,,,,,,,,Graduate Assistant
12,,,Michael McClanathan,,,,,,,,,,Graduate Assistant
13,,,Mike Brunk,,,,,,,,,,Defensive Quality Control
0,,,Jeff Collett,,,,,,,,,,Associate AD for Operations and Recruiting
1,,,Wilson Schiller,,,,,,,,,,Director of On-campus Recruiting and Operations
2,,,Jerry VanHavel,,,,,,,,,,Player Personnel Assistant/High School Relations
3,,,Jeanne Justice,,,,,,,,,,Administrative Assistant
