,Statistic,No.,Image,Name,Pos.,Ht.,Wt.,Cl.,Hometown/High School,Previous School,Major,Twitter,Instagram,Opendorse,Title
22,,14.0,,Sam Kenerson,WR,5-9,170.0,R-So.,"Baton Rouge, La. / Central",,Interdisciplinary Studies,richhomiesam6,samkenerson14,sam-kenerson,
23,,14.0,,Ashton Whitner,DB,6-0,200.0,Fr.,"Greenville, S.C. / Greenville",,Management,ashton_whitner,ashton_whitner,Ashton-Whitner,
24,,15.0,,Zak Rozsman,QB,6-3,200.0,Fr.,"Marietta, Ga. / Walton",,Biochemistry,realzakrozsman,zak_rozsman,,
25,,15.0,,Quin Williams,DL,6-3,270.0,R-Sr.,"Madison, Ga. / Morgan County",,Interdisciplinary Studies,15_QuinWilliams,quin.williams15/,quin-williams,
26,,16.0,,Tyrell Davis,DB,6-1,195.0,So.,"Harrisburg, N.C. / Hickory Ridge",,Marketing,TyrellD28,Jaydizzy6,tyrell-davis,
27,,16.0,,Colton FitzGerald,QB,6-2,195.0,R-Fr.,"Santa Clarita, Calif. / Saugus",Boise State,Kinesiology,ColtonFitzz,coltonfitz16_,colton-fitzgerald,
28,,17.0,,Richie Lankford,QB,6-3,200.0,So.,"McDonough, Ga. / Community Christian",College of San Mateo,Business Administration,richielankford_,richielankford,rachie-lankford,
29,,17.0,,TJ Lewis,WR,6-4,185.0,R-Fr.,"Brunswick, Ga. / Glynn Academy",Louisville,Criminal Justice,__tjlewis,x.tjlewis,,
30,,17.0,,Myzel Williams,DB,6-0,190.0,So.,"Deltona, Fla. / Deltona",,Multimedia Journalism,WilliamsMyzel,myzelwilliams_,myzel-williams,
31,,18.0,,Justin Birdsong,DB,5-11,185.0,5th Year,"Lithonia, Ga. / Stephenson",,Interdisciplinary Studies,justinbirdsong7,athbird,justin-birdsong,
32,,18.0,,Josh Dallas,WR,6-2,210.0,Fr.,"Sharpsburg, Ga. / Trinity Christian",,Business,joshdallas_18,joshdallas_18,josh-dallas,
33,,19.0,,Alex Raynor,K,5-11,190.0,R-Jr.,"Kennesaw, Ga. / Harrison",,Marketing,acraynor1,acraynor,alexander-raynor,
34,,19.0,,Kyle Toole,QB,6-2,200.0,R-So.,"Leesburg, Ga. / Lee County",Troy,Economics,,,,
35,,20.0,,Terrance Gibbs,RB,6-0,205.0,Fr.,"Winter Park, Fla. / Winter Park",,Management,mTerrance122,t1gibbs,,
