,Statistic,#,Full Name,Year,Pos.,Ht.,Wt.,Hometown,High School,Previous School,C,Image,Name,Title
18,,15.0,Sam Pinckney,Super-Sr.,WR,6-4,215.0,"Greenwood, S.C.",Greenwood HS,Georgia State,,,,
19,,15.0,Trelon Slade,Fr.,CB,6-2,180.0,"Powdersville, S.C.",Powdersville HS,Fork Union Military Academy,,,,
20,,16.0,Matthew McDoom,So.,CB,5-11,170.0,"Winter Garden, Fla.",West Orange HS,,,,,
21,,17.0,Kaleb Hutchinson,R-Fr.,S,6-0,180.0,"Augusta, Ga.",Westside HS,,,,,
22,,18.0,Jahmar Brown,R-Sr.,S,6-1,210.0,"Fort Lauderdale, Fla.",St. Thomas Aquinas HS,South Carolina,,,,
23,,19.0,Abraham Temoney III,R-Sr.,CB,6-4,190.0,"Sumter, S.C.",Sumter HS,Erskine,,,,
24,,20.0,Chase Atkinson,R-Jr.,NICKEL,6-0,190.0,"Columbia, S.C.",Blythewood HS,Syracuse,,,,
25,,20.0,Logan Mauldin,R-Jr.,TE,6-3,225.0,"Charlotte, N.C.",Myers Park HS,,,,,
26,,21.0,JT Killen,R-Sr.,LB,6-3,225.0,"Lake Wylie, S.C.",Charlotte Christian School,,,,,
27,,22.0,Josiah Robinson,So.,Nickel,5-11,205.0,"Apopka, Fla.",Apopka HS,,,,,
28,,23.0,Jacob Proche,Super-Sr.,CB,5-10,190.0,"Red Oak, Texas",Red Oak HS,Coffeyville C.C.,,,,
