,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,High School,Current School Name,Previous School,Hometown,Image,Name,Title
1,,,,,,,,,Troy,,,,Joe Craddock,Offensive Coordinator / Quarterbacks
2,,,,,,,,,Troy,,,,Shiel Wood,Defensive Coordinator / Safeties
3,,,,,,,,,Troy,,,,Gary Banks,Wide Receivers
4,,,,,,,,,Troy,,,,Bam Hardmon,Defensive Run Game Coordinator / Outside Linebackers
5,,,,,,,,,Troy,,,,Brock Hays,Running Backs
6,,,,,,,,,Troy,,,,Eric McDaniel,Defensive Line
7,,,,,,,,,Troy,,,,Evan McKissack,Tight Ends
8,,,,,,,,,Troy,,,,Travis Pearson,Cornerbacks
9,,,,,,,,,Troy,,,,Tayler Polk,Inside Linebackers
10,,,,,,,,,Troy,,,,Cole Popovich,Offensive Line
11,,,,,,,,,Troy,,,,Jamaal Smith,Chief of Staff
12,,,,,,,,,Troy,,,,Brayden Berezowitz,Director of Player Personnel
13,,,,,,,,,Troy,,,,Cortlynn Harris,Director of On-Campus Recruiting / Operations Assistant
14,,,,,,,,,Troy,,,,Caleb Ross,Director of Operations & High School Relations
15,,,,,,,,,Troy,,,,Rusty Whitt,Football Strength & Conditioning Head Coach
16,,,,,,,,,Troy,,,,David Mackie,Defensive Analyst
17,,,,,,,,,Troy,,,,James Vollono,Special Teams Analyst
18,,,,,,,,,Troy,,,,Colin Kenyon,Assistant Strength Coach
19,,,,,,,,,Troy,,,,Aaron Sisk,Video Coordinator
20,,,,,,,,,Troy,,,,Nick Bell,Assistant (Strength & Conditioning)
21,,,,,,,,,Troy,,,,Jeremiah Cartwright,Assistant (Administration)
22,,,,,,,,,Troy,,,,Gunner Hudspeth,Assistant (Offense)
23,,,,,,,,,Troy,,,,Rip Kirk,Assistant (Offense)
24,,,,,,,,,Troy,,,,Trey Page,Assistant (Strength & Conditioning)
25,,,,,,,,,Troy,,,,Hunter Reese,Assistant (Defense)
26,,,,,,,,,Troy,,,,Sage Wallace,Assistant (Video)
27,,,,,,,,,Troy,,,,Alex Ward,Assistant (Offense)
