,Statistic,NO.,Name,Pos.,Ht.,Wt.,Class,Hometown / High School,Instagram,Twitter,Image,Title
24,,,Kendal Lambert,,,,,,,,,On-Campus Recruiting Coordinator
25,,,Josh Linam,,,,,,,,,Analyst - Defense (LB)
26,,,Zach Mallard,,,,,,,,,Graduate Assistant - Defense
27,,,Dana Marquez,,,,,,,,,Associate AD for Equipment Operations
28,,,Grant Miller,,,,,,,,,Assistant Director of Player Personnel & Scouting
29,,,John Miller,,,,,,,,,Associate AD / General Manager
30,,,AK Mogulla,,,,,,,,,Director of Player Personnel
31,,,Cannon Montgomery,,,,,,,,,Graduate Assistant - Offense
32,,,Paxton Montgomery,,,,,,,,,Special Teams Intern
33,,,Thomas Morton,,,,,,,,,Offensive Intern
34,,,Austin Perryman,,,,,,,,,Assistant Director of Football Creative Content & Imagery
35,,,Aaron Pittard,,,,,,,,,Player Personnel Analyst
36,,,Brad Rapacz,,,,,,,,,Director of Olympic Sports Equipment & Football Press Box Communications
37,,,Trovon Reed,,,,,,,,,Director of Football & Recruiting Relations
38,,,Will Reid,,,,,,,,,Director of Football Video
39,,,Tyler Renard,,,,,,,,,Director of Football Equipment Operations
40,,,Ragan Reynolds,,,,,,,,,Executive Assistant for Football
41,,,Mikel Riggs,,,,,,,,,Director of Football Operations
42,,,Natasha Sanders,,,,,,,,,Director of Recruit and Alumni Engagement / Newcomer Transition
43,,,Kendall Simmons,,,,,,,,,Analyst - Offense
44,,,Hunter Smithwick,,,,,,,,,Assistant Equipment Manager for Football / RFID Inventory & Communications Operations
45,,,Jesse Stone,,,,,,,,,Senior Analyst - Offense
46,,,Dom Studzinski,,,,,,,,,Assistant Head Coach / Head Strength & Conditioning
47,,,Evan Tyler,,,,,,,,,Assistant Director of Football Operations / Player Development
48,,,JJ Wahlquist,,,,,,,,,Director of Branding & Content Strategy
49,,,Bianca Webb,,,,,,,,,Director of Recruiting Operations & Football Events
50,,,Xaria Wiggins,,,,,,,,,On-Campus Recruiting Assistant
51,,,Chette Williams,,,,,,,,,FCA Director / Team Chaplain
52,,,Jeremiah Wilson,,,,,,,,,Analyst - Defense
53,,,Reilly Wooten,,,,,,,,,Assistant On-Campus Recruiting Coordinator
