,Statistic,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown,High School,Previous School,Instagram,Twitter,Image,Name,Title
85,,87.0,Jaydn Girard,WR,6-0,175.0,R-Fr.,"Seffner, FL",Jesuit,,thats_j5,jaydngirard,,,
86,,89.0,Harry Lodge,TE,6-6,240.0,R-Fr.,"Cambridge, MA",Belmont,,harry.lodge25,Harrylodge25,,,
87,,90.0,Jacob Zuhr,LS,6-0,210.0,R-So.,"Oviedo, FL",Hagerty,,jacobzuhr,JacobZuhr,,,
88,,91.0,Kevin Pointer,DL,6-1,285.0,R-Jr.,"Jonesboro, Ark.",Jonesboro Senior,UL-Monroe,kevinpointer91_,bigkevin91,,,
89,,93.0,Isaiah Chaney,DL,6-4,280.0,R-Jr.,"Cartersville, GA",Cartersville,,ichaneyy,ichaneyy,,,
90,,94.0,Zach Lohavichan,DL,6-3,275.0,R-So.,"Charlotte, NC",Providence Day School,,,@Zachloha,,,
91,,96.0,Claude Bragg,DL,6-4,235.0,R-So.,"Davidson, NC",Community School of Davidson,,claude.bragg,bragg_claude,,,
92,,97.0,Caleb Carlson,K,6-3,187.0,R-Fr.,"Coconut Grove, FL",Ransom Everglades School,,caleb_carlson9,Caleb_Carlson9,,,
93,,97.0,Quincy Williams,DL,6-4,240.0,R-Fr.,"Bowie, MD",Bishop McNamara,,,,,,
94,,98.0,Wyatt Crespi,DL,6-1,275.0,R-So.,"Concord, CA",De La Salle,,wyatt.crespi,W_C_Crespi,,,
95,,99.0,Matthew Dennis,K,5-11,184.0,R-So.,"Charlotte, N.C.",Myers Park,,matthewwdennis,mattdennis06,,,
96,,99.0,Elijah Hall,DL,6-3,274.0,R-Fr.,"Shelby, NC",Crest,,elihall__,elihall8_,,,
97,,,Deuce Alexander,WR,5-11,165.0,Fr.,"Douglasville, GA",Douglas County,,https://www.instagram.com/deuce2____/?igshid=YmMyMTA2M2Y%3D,https://twitter.com/deuceisloose3,,,
98,,,Kyland Armstrong,OL,6-3,285.0,Fr.,"Orange Park, FL",Oakleaf,,https://www.instagram.com/kydabest.1/,https://twitter.com/Kythebest_1,,,
99,,,David Egbe,RB,5-10,200.0,Fr.,"Millstone, NJ",Loomis Chaffee,,https://www.instagram.com/davidegbe_/,https://twitter.com/DavidEgbe10,,,
100,,,Bryce Ganious,DL,6-2,280.0,Jr.,"Houston, TX",Second Baptist,Villanova,,https://twitter.com/bryce_ganious,,,
101,,,Aiden Hall,LB,6-2,216.0,Fr.,"Pleasant Grove, AL",Pleasant Grove,,,https://twitter.com/AidenHa04,,,
102,,,Kerrington Lee,DL,6-4,235.0,Fr.,"Palm Beach Gardens, FL",Dwyer,,https://www.instagram.com/kerrington_jags6/,https://twitter.com/LeeKerrington,,,
103,,,"Chris Marable, Jr.",DL,6-4,290.0,Fr.,"Hilton Head Island, SC",Hilton Head School,,https://www.instagram.com/cmarable_/,https://twitter.com/CMARABLE_,,,
104,,,Walker Merrill,WR,6-1,195.0,Jr.,"Brentwood, TN",Brentwood,Tennessee,,,,,
105,,,Davaughn Patterson,DB,6-1,205.0,Fr.,"North Jacksonville, FL",Edward H White,,,https://twitter.com/Davaughnp5lyfe,,,
106,,,Drew Pickett,RB,5-9,180.0,Fr.,"Seale, AL",Russell County,,https://www.instagram.com/drewski__0/,https://twitter.com/DrewPickett13,,,
107,,,Jacob Roberts,LB,6-1,235.0,Sr.,"Charlotte, NC",Mallard Creek,NC A&T,https://www.instagram.com/jacobrob3rts_/,https://twitter.com/Jacobrob3rts_,,,
108,,,"Antonio Robinson, Jr.",DB,5-10,180.0,Fr.,"Miami, FL",Beechwood,,https://www.instagram.com/king_arobinson2_/,https://twitter.com/King_arobinson2,,,
109,,,Ka'Shawn Thomas,DL,6-1,288.0,Fr.,"Brunswick, GA",Brunswick,,https://www.instagram.com/kashawn_thomas99/,https://twitter.com/YBK_KT99,,,
0,,,,,,,,,,,,,,Dave Clawson,Head Coach
1,,,,,,,,,,,,,,Kevin Higgins,General Manager
2,,,,,,,,,,,,,,Dave Cohen,Assistant Head Coach for Defense/Defensive Line
3,,,,,,,,,,,,,,Warren Ruggiero,Offensive Coordinator/Quarterbacks
