,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Exp.,Current School Name,Hometown,High School / Previous Schools,Image,Title
54,,42.0,Elias Escobar,DB,5-11,190.0,Sr.,TR,Sam Houston,"Hayward, Calif.",Mountain House HS / Laney College,,
55,,43.0,Jadon Cardell,K/P,6-0,185.0,R-So.,RS,Sam Houston,"Cedar Hill, Texas",Cedar Hill HS,,
56,,44.0,Briceon Hayes,DL,6-3,225.0,Jr.,1L,Sam Houston,"Huntsville, Texas",Huntsville HS,,
57,,47.0,Keegan Sneedon,K/P,6-3,195.0,So.,HS,Sam Houston,"Katy, Texas",Seven Lakes HS,,
58,,47.0,Zavien Wills,LB,5-10,190.0,R-So.,,Sam Houston,"Refugio, TX",Refugio HS,,
59,,48.0,Braeden Howell,TE,6-2,215.0,R-So.,RS,Sam Houston,"Burnet, Texas",Burnet HS,,
60,,49.0,Christian Pavon,K/P,5-10,180.0,R-So.,RS,Sam Houston,"Willis, Texas",Willis HS,,
61,,50.0,Trey Mappe,LB,6-1,210.0,R-So.,RS,Sam Houston,"Friendswood, Texas",Friendswood HS,,
62,,52.0,D'Ary Patton,OL,6-4,290.0,R-So.,RS,Sam Houston,"Victoria, Texas",St. Joseph HS,,
63,,53.0,Ca'lub Holloway,DL,6-1,215.0,So.,HS,Sam Houston,"Fort Worth, Texas",South Hills HS / Phillips Exeter Academy,,
64,,55.0,Jaden Phillips,DL,6-2,270.0,Jr.,TR,Sam Houston,"Clovis, NM",Clovis HS / New Mexico,,
65,,56.0,Cameron Plummer,DL,6-6,230.0,R-So.,RS,Sam Houston,"Houston, Texas",Ridge Point HS,,
66,,57.0,Ethan Hagler,OL,6-2,305.0,Sr.,2L,Sam Houston,"Cove, Texas",Barbers Hill HS / Blinn College,,
67,,59.0,Graceson Jackson-Smith,OL,6-4,310.0,R-So.,TR,Sam Houston,"Monroe, LA",Wossman HS / Tyler JC,,
68,,61.0,Noah Barboza,OL,6-1,295.0,R-Sr.,2Y,Sam Houston,"Spring, Texas",Concordia Lutheran HS / Southern Nazarene,,
69,,64.0,Carter Murray,OL,6-3,305.0,R-So.,TR,Sam Houston,"Lovelady, TX",Lovelady HS / Lamar,,
70,,65.0,Easton Fulton,OL,6-3,305.0,Fr.,TR,Sam Houston,"Rosebud, TX",Rosebud-Lott HS,,
71,,67.0,Ethan Vazquez,OL,6-2,290.0,So.,HS,Sam Houston,"Katy, Texas",Tompkins HS,,
72,,68.0,Trevor Jaks,OL,6-4,290.0,R-So.,RS,Sam Houston,"Humble, Texas",Atascocita HS,,
73,,69.0,Seth Kohlscheen,OL,6-0,310.0,R-Jr.,2Y,Sam Houston,"Crawford, Texas",Crawford HS,,
74,,71.0,James Dawn II,OL,6-4,315.0,So.,HS,Sam Houston,"New Braunfels, Texas",New Braunfels HS,,
75,,73.0,Keaton Altman,OL,6-5,280.0,R-So.,TR,Sam Houston,"Brenham, Texas",Brenham HS / McNeese,,
76,,74.0,Khalil Miller,OL,6-3,300.0,R-Sr.,TR,Sam Houston,"Lithonia, Ga.",Arabia Mountain HS / Davidson,,
77,,75.0,William McCollum,OL,6-5,335.0,Jr.,TR,Sam Houston,"Jackson, MS",Forest Hill HS / Copiah Lincoln CC,,
78,,76.0,CJ Marsh,OL,6-4,285.0,R-So.,RS,Sam Houston,"Katy, Texas",Katy HS,,
79,,78.0,Orion Irving,OL,6-6,290.0,So.,HS,Sam Houston,"Houston, Texas",Lamar HS,,
80,,79.0,Justin Elmore,DL,6-2,290.0,R-Fr.,TR,Sam Houston,"Cibolo, TX",Steele HS / Air Force Academy,,
81,,81.0,Derrick Rose,WR,6-4,190.0,R-Jr.,2L,Sam Houston,"Sachse, Texas",Sachse HS,,
82,,83.0,Tyler Bailey,WR,6-0,180.0,So.,HS,Sam Houston,"Prosper, Texas",Prosper HS,,
83,,84.0,Bryce Gilchrist,TE,6-3,240.0,Fr.,FR,Sam Houston,"Frisco, TX",Heritage HS,,
84,,86.0,Thomas Jewett,TE,6-4,230.0,So.,HS,Sam Houston,"Houston, Texas",Strake Jesuit HS,,
85,,87.0,Jay Rockwell,WR,6-3,185.0,So.,HS,Sam Houston,"Gilmer, Texas",Gilmer HS,,
86,,88.0,Marcus Collins,TE,6-3,225.0,R-So.,RS,Sam Houston,"Magnolia, Texas",Magnolia West HS,,
87,,89.0,Elijah Sohn,TE,6-4,250.0,Sr.,TR,Sam Houston,"Aledo, Texas",Aledo HS / SMU,,
88,,90.0,Richard Outland,DL,6-3,265.0,Jr.,1L,Sam Houston,"Houston, Texas",Alief Taylor HS,,
89,,91.0,Andrew Edmonson,DL,6-2,250.0,So.,HS,Sam Houston,"The Woodlands, Texas",College Park HS,,
90,,94.0,Jevon Leon,DL,6-3,255.0,Sr.,3L,Sam Houston,"Houston, Texas",Alief Hastings HS,,
91,,96.0,Matthew Aribisala,DL,6-3,255.0,R-So.,RS,Sam Houston,"Cedar Hill, Texas",Cedar Hill HS / Air Force Prep,,
92,,97.0,Chris Scott,DL,6-1,280.0,R-Sr.,3L,Sam Houston,"Madisonville, Texas",Madisonville HS,,
93,,98.0,Trent Ward,DL,6-3,285.0,R-So.,HS,Sam Houston,"Spring, Texas",Klein Collins HS,,
94,,99.0,Chris Murray,DL,6-3,255.0,R-So.,TR,Sam Houston,"Wichita Falls, Texas",Hirschi HS / TCU,,
0,,,K.C. Keeler,,,,,,Sam Houston,,,,Head Coach
1,,,Clayton Carlin,,,,,,Sam Houston,,,,Associate Head Coach / Co-Defensive Coordinator / Safeties
2,,,Brad Cornelsen,,,,,,Sam Houston,,,,Offensive Coordinator
3,,,Joe Morris,,,,,,Sam Houston,,,,Co-Defensive Coordinator / Defensive Ends
4,,,Matt Merkens,,,,,,Sam Houston,,,,Tight Ends
5,,,Jared Hensley,,,,,,Sam Houston,,,,Linebackers
6,,,John Johnson,,,,,,Sam Houston,,,,Running Backs
7,,,Thomas Rocco,,,,,,Sam Houston,,,,Cornerbacks
8,,,Chris Buckner,,,,,,Sam Houston,,,,Wide Receivers
9,,,Ike Eguae,,,,,,Sam Houston,,,,Defensive Line
10,,,Brian Natkin,,,,,,Sam Houston,,,,Offensive Line
11,,,Zach Milliet,,,,,,Sam Houston,,,,Special Teams Analyst
12,,,Clayton Barnes,,,,,,Sam Houston,,,,General Manager for Football
0,,,Dustin LeNorman,,,,,,Sam Houston,,,,Athletic Trainer
1,,,Tristin Connolly,,,,,,Sam Houston,,,,Athletic Trainer
2,,,Parker Whiteman,,,,,,Sam Houston,,,,Strength & Conditioning
3,,,Mike Reed,,,,,,Sam Houston,,,,Academic Coordinator
4,,,Darcy Daugherty,,,,,,Sam Houston,,,,Football Administrative Assistant / Recruiting Operations
5,,,Adonis Hentz,,,,,,Sam Houston,,,,Athletic Equipment Coordinator
6,,,Matthew Kooiman,,,,,,Sam Houston,,,,Operations and Recruiting Assistant
