,Statistic,#,Full Name,Pos.,Ht.,Wt.,Cl./Exp.,Hometown / High School,Current School Name,Previous School,Twitter,Image,Name,Title
14,,7.0,Malik Feaster,DB,6-0,190.0,5th,"Toccoa, Ga. / Stephens County HS",Memphis,Jacksonville State / Florida State,Malik_Feaster,,,
15,,8.0,Jevyon Ducker,RB,5-9,195.0,R-Jr.,"Bellevue, Neb. / Bellevue West",Memphis,Northern Illinois,DuckerJevyon,,,
16,,8.0,Chatavies Johnson,LB,6-1,215.0,R-So.,"Little Elm, Texas / Braswell HS",Memphis,Navarro CC,chatavies28,,,
17,,9.0,Geoffrey Cantin-Arku,LB,6-3,240.0,R-Sr.,"Lévis, Quebec, Canada / Cégep Garneau",Memphis,Syracuse,geofcantin,,,
18,,9.0,Ke'Travion Hargrove,RB,5-11,195.0,R-So.,"Ruston, La. / Ruston HS",Memphis,Mississippi State,bulldagreat,,,
19,,10.0,Marcello Bussey,WR,5-11,175.0,Jr.,"Junction City, Kan. / Junction City HS",Memphis,Hutchinson CC,,,,
20,,10.0,An'Darius Coffey,DB,5-10,200.0,R-Jr.,"Winona, Miss. / Winona HS",Memphis,,andariuscoffeyy,,,
21,,11.0,Chandler Martin,LB,6-0,215.0,R-So.,"Lithonia, Ga. / Arabia Mountain HS",Memphis,East Tennessee State,_ChandlerMartin,,,
22,,12.0,Cormontae Hamilton,DL,6-3,265.0,R-Jr.,"Memphis, Tenn. / Whitehaven HS",Memphis,Ohio State,cormontae_h,,,
23,,12.0,Andrew Mason,WR,5-10,160.0,R-Jr.,"Spring Hill, Tenn. / Ravenwood HS",Memphis,Rice,andrewmason_16,,,
24,,13.0,Tyrell Raby,DB,5-11,190.0,R-So.,"Baton Rouge, La. / Madison Prep Academy",Memphis,,ykrell_,,,
25,,14.0,Harris Boyd,QB,6-2,195.0,Fr.,"Rowlett, Texas / Rowlett HS",Memphis,,RealHarrisBoyd,,,
26,,14.0,Davian Mayo,LB,6-0,230.0,R-Jr.,"Monticello, Ark. / Drew Central HS",Memphis,,MayoDavian,,,
27,,16.0,Hydee Barlow,DL,5-11,270.0,R-Jr.,"Forest, Miss. / Scott Central HS",Memphis,Mississippi Gulf Coast CC,IHydee4,,,
28,,17.0,Karmelo Overton,LB,6-0,214.0,Fr.,"Ozark, Ala. / Carroll HS",Memphis,,MeloOverton,,,
29,,18.0,DeAgo Brumfeld,DB,6-0,190.0,R-So.,"Cincinnati, Ohio / La Salle HS",Memphis,Campbellsville,DeAgoBrum,,,
30,,19.0,Jamari Hawkins,WR,5-9,185.0,R-Fr.,"Mobile, Ala. / Baker HS",Memphis,,HawkinsJamari,,,
31,,19.0,Trevor Walton,DB,6-1,175.0,Fr.,"Horn Lake, Miss. / Horn Lake HS",Memphis,,,,,
32,,21.0,Tevin Carter,QB,6-3,230.0,R-Fr.,"Memphis, Tenn. / PURE Youth HS",Memphis,,tevincarter_2,,,
33,,21.0,Trevor Hardy,DB,6-0,175.0,R-Fr.,"Alabaster, Ala. / Thompson HS",Memphis,,TrevorHardy19,,,
34,,22.0,Jaylon Allen,DL,6-3,240.0,5th,"Humble, Texas / Atascocita HS",Memphis,,jaylon_allenn,,,
