,Statistic,#,Name,Pos,Ht,Wt,Cl-Exp,Hometown / Previous School,Image,Title
47,,30.0,Carter Campbell,WR,6-0,188.0,JR-1L,"San Antonio, Texas / Reagan",,
48,,30.0,Nate Monticure,S,5-11,175.0,JR-TR,"Fort Worth, Texas / Mary Hardin Baylor / Liberty Christian",,
49,,31.0,Tyler Lavine,RB,5-11,212.0,SR-4L,"Cedar Park, Texas / Army Preparatory Academy / Cedar Park",,
50,,31.0,Ford Parker,CB,6-1,177.0,SR-SQ,"Dallas, Texas / Highland Park",,
51,,32.0,Joey Bruszer,WR,6-3,225.0,FR-RS,"Sunnyvale, Texas / Sunnyvale",,
52,,33.0,Michael De Hoyos,CB,5-10,170.0,FR-HS,"San Antonio, Texas / Winston Churchill",,
53,,34.0,Parker Chappell,WR,6-3,206.0,FR-RS,"Jacksonville, Fla. / Episcopal School of Jacksonville",,
54,,34.0,Ahmad Walker,LB,5-11,215.0,JR-TR,"Warner Robins, Ga. / Liberty / Watner Robins",,
55,,35.0,Will Goldberg,S,5-11,197.0,JR-1L,"Santa Monica, Calif. / Harvard-Westlake",,
56,,36.0,Braeden Flowers,DE,6-3,250.0,FR-HS,"San Antonio, Texas / Central Catholic",,
57,,36.0,Henry Stickler,WR,-,,FR-HS,"Los Angeles, Calif. / Loyola HS",,
58,,38.0,Carter Link,S,6-0,218.0,SO-SQ,"Pasadena, Calif. / Loyola High School of Los Angeles",,
59,,39.0,Keaton Cheves,WR,5-11,188.0,FR-RS,"Dallas, Texas / Shelton",,
60,,39.0,John Porter,LB,6-0,218.0,SR-SQ,"Little Elm, Texas / Narbonne",,
61,,40.0,Elijah Chatman,DT,6-0,291.0,SR-4L,"Shreveport, La. / Evangel Christian Academy",,
62,,41.0,Collin Rogers,K,6-4,190.0,SO-1L,"Prattville, Ala. / Prattville",,
63,,42.0,Kevin Dittoe,DL,6-4,232.0,FR-HS,"Houston, Texas / St. Pius X",,
64,,43.0,Andrew Hale,S,6-0,182.0,FR-RS,"Denver, Colo. / Valor Christian",,
65,,43.0,Conner Moore,WR,6-2,201.0,FR-RS,"Nashville, Tenn. / Franklin Road Academy",,
66,,44.0,Kamryn Farrar,LB,6-0,214.0,SR-1L,"Dallas, Texas / Oklahoma State / Skyline",,
67,,45.0,Jayden Jones,DE,6-5,255.0,SO-1L,"Dallas, Texas / Parish Episcopal",,
68,,46.0,Markus Schumacher,TE,6-2,216.0,FR-RS,"Dallas, Texas / Trinity Christian Academy",,
69,,46.0,Trent Strong,LB,6-1,220.0,SO-SQ,"Tucson, Ariz. / Salpointe Catholic",,
70,,47.0,Stone Eby,DT,6-5,270.0,FR-RS,"Flower Mound, Texas / Flower Mound",,
71,,47.0,Nic Heck,WR,5-8,140.0,SR-SQ,"Katy, Texas / Katy",,
72,,48.0,Will Benton IV,LS,6-1,219.0,SR-3L,"Atlanta, Ga. / The Westminster Schools",,
73,,49.0,Jovoni Borbon,LS,5-10,203.0,SO-SQ,"Sierra Vista, Ariz. / Maricopa CC / Buena",,
74,,49.0,Parker Forque,DE,6-5,240.0,SO-SQ,"Bellaire, Texas / Episcopal",,
