,Statistic,#,Name,Pos.,Ht.,Wt.,Yr.,Hometown,Current School Name,High School,Previous School,Image,Title
33,,22.0,Jace Arnold,CB,5-9,180.0,Fr.,"Marietta, Ga.",Wisconsin,Marietta,,,
34,,22.0,Jack Van Dyke,K,6-5,218.0,Sr.,"Neenah, Wis.",Wisconsin,Neenah,,,
35,,23.0,Jason Maitre,CB,5-10,188.0,R-Sr.,"Orlando, Fla.",Wisconsin,Everett,Boston College,,
36,,24.0,Cole Toennies,WR,6-2,194.0,R-Fr.,"Middleton, Wis.",Wisconsin,Middleton,,,
37,,24.0,Hunter Wohler,S,6-2,211.0,Jr.,"Muskego, Wis.",Wisconsin,Muskego,,,
38,,25.0,Cade Yacamelli,RB,6-0,210.0,R-Fr.,"Trafford, Pa.",Wisconsin,Trafford-Penn,,,
39,,26.0,Travian Blaylock,S,5-11,208.0,Gr.,"Humble, Texas",Wisconsin,Atascocita,,,
40,,26.0,Grady O'Neill,WR,5-11,160.0,R-Fr.,"Prior Lake, Minn.",Wisconsin,St. Thomas Academy,,,
41,,27.0,Haakon Anderson,WR,6-1,213.0,R-Jr.,"Verona, Wis.",Wisconsin,Verona,,,
42,,27.0,Tyler Jansey,ILB,6-0,227.0,Fr.,"Batavia, Ill.",Wisconsin,Batavia,,,
43,,28.0,Gavin Meyers,P,6-1,202.0,R-Jr.,"Oshkosh, Wis.",Wisconsin,Lourdes Academy,,,
44,,29.0,Nate Van Zelst,K,5-11,204.0,R-So.,"Glenview, Ill.",Wisconsin,Loyola Academy,,,
45,,30.0,Alex Moeller,WR,5-11,175.0,R-So.,"Arlington Heights, Ill.",Wisconsin,Prospect,,,
46,,31.0,Amaun Williams,CB,5-10,187.0,R-Jr.,"Milwaukee, Wis.",Wisconsin,Riverside,,,
47,,32.0,Julius Davis,RB,5-10,198.0,R-Sr.,"Menomonee Falls, Wis.",Wisconsin,Menomonee Falls,,,
48,,32.0,Marty Strey,OLB,6-2,235.0,Gr.,"Sun Prairie, Wis.",Wisconsin,Sun Prairie,,,
49,,34.0,Jackson Acker,RB,6-1,240.0,R-So.,"Madison, Wis.",Wisconsin,Verona,,,
50,,34.0,Charlie Jarvis,S,6-1,205.0,R-Fr.,"Hartland, Wis.",Wisconsin,Catholic Memorial,,,
51,,36.0,Jake Chaney,ILB,5-11,233.0,Jr.,"Cape Coral, Fla.",Wisconsin,Lehigh,,,
52,,37.0,Bryce Carey,S,6-1,192.0,R-Jr.,"Middleton, Wis.",Wisconsin,Middleton,Northern Illinois,,
53,,37.0,Riley Nowakowski,TE,6-1,241.0,R-Jr.,"Milwaukee, Wis.",Wisconsin,Marquette University HS,,,
54,,38.0,Lee Hutton,CB,5-10,170.0,R-Fr.,"Minnetonka, Minn.",Wisconsin,Hopkins,,,
55,,39.0,Tatum Grass,ILB,6-2,234.0,R-Sr.,"Holmen, Wis.",Wisconsin,Holmen,,,
56,,41.0,JT Seagreaves,TE,6-6,224.0,R-Fr.,"Monroe, Wis.",Wisconsin,Monroe,,,
57,,43.0,Grover Bortolotti,RB,5-9,193.0,R-So.,"Whitefish Bay, Wis.",Wisconsin,Whitefish Bay,,,
58,,43.0,Jackson Trudgeon,S,6-1,202.0,R-Fr.,"Fitchburg, Wis.",Wisconsin,Madison Edgewood,,,
59,,44.0,Zach Gloudeman,RB,6-2,226.0,R-Fr.,"Spring Green, Wis.",Wisconsin,River Valley,,,
60,,44.0,Jeff Pietrowski Jr.,OLB,6-2,244.0,R-Jr.,"Medina, Ohio",Wisconsin,St. Edward,Michigan State,,
61,,45.0,Garrison Solliday,ILB,5-11,230.0,R-So.,"Eagan, Minn.",Wisconsin,St. Thomas Academy,,,
62,,46.0,Deven Magli,S,6-1,198.0,R-Fr.,"DeForest, Wis.",Wisconsin,DeForest,,,
63,,47.0,Peter Bowden,LS,6-2,245.0,R-Sr.,"San Diego, Calif.",Wisconsin,Francis Parker,,,
64,,48.0,Cole Dakovich,TE,6-5,250.0,R-Jr.,"Waukesha, Wis.",Wisconsin,Catholic Memorial,,,
65,,49.0,Cam Large,TE,6-3,242.0,R-Sr.,"Pomfret, Conn.",Wisconsin,Noble & Greenough,,,
66,,50.0,Aidan Vaughan,ILB,6-2,220.0,R-Fr.,"Wixom, Mich.",Wisconsin,Walled Lake Western,,,
67,,51.0,Bryan Sanborn,ILB,6-1,228.0,R-So.,"Deer Park, Ill.",Wisconsin,Lake Zurich,,,
68,,52.0,Kaden Johnson,OLB,6-2,248.0,R-Jr.,"St. Paul, Minn",Wisconsin,Minnehaha Academy,,,
69,,53.0,Ross Gengler,OLB,6-2,227.0,R-Jr.,"Delavan, Wis.",Wisconsin,Delavan-Darien,,,
70,,54.0,Jordan Turner,ILB,6-1,235.0,R-Jr.,"Farmington, Mich.",Wisconsin,Farmington,,,
71,,55.0,Maema Njongmeta,ILB,6-0,240.0,R-Sr.,"Buffalo Grove, Ill.",Wisconsin,Adlai E. Stevenson,,,
72,,56.0,Joe Brunner,OL,6-5,315.0,R-Fr.,"Whitefish Bay, Wis.",Wisconsin,Whitefish Bay,,,
73,,56.0,Rodas Johnson,DE,6-2,299.0,R-Sr.,"Columbus, Ohio",Wisconsin,St. Francis DeSales,,,
74,,57.0,Luna Larson,ILB,6-2,222.0,R-Fr.,"Baraboo, Wis.",Wisconsin,Baraboo,,,
75,,57.0,Jake Renfro,OL,6-4,316.0,R-Jr.,"Mokena, Ill.",Wisconsin,Providence Catholic,Cincinnati,,
76,,58.0,Gabe Kirschke,DL,6-5,242.0,R-Fr.,"Lone Tree, Colo.",Wisconsin,Valor Christian,,,
77,,59.0,Aaron Witt,OLB,6-6,265.0,R-Jr.,"Winona, Minn.",Wisconsin,Winona,,,
78,,60.0,Joe Huber,OL,6-5,308.0,R-Jr.,"Dublin, Ohio",Wisconsin,Jerome,Cincinnati,,
79,,61.0,Dylan Barrett,OL,6-5,319.0,R-Jr.,"St. Charles, Ill.",Wisconsin,East,,,
80,,62.0,Max Rader,OL,6-6,267.0,R-Fr.,"De Pere, Wis.",Wisconsin,Notre Dame Academy,North Dakota State,,
81,,63.0,Tanor Bortolini,OL,6-4,310.0,R-Jr.,"Kewaunee, Wis.",Wisconsin,Kewaunee,,,
82,,64.0,Duncan McKinley,LS,6-2,230.0,R-Jr.,"Eau Claire, Wis.",Wisconsin,Memorial,,,
83,,64.0,Sean Timmis,OL,6-4,310.0,R-So.,"Shorewood, Wis.",Wisconsin,Marquette University HS,,,
84,,66.0,Nolan Rucci,OL,6-8,302.0,R-So.,"Lititz, Pa.",Wisconsin,Warwick,,,
85,,67.0,JP Benzschawel,OL,6-6,305.0,R-So.,"Grafton, Wis.",Wisconsin,Grafton,,,
86,,68.0,Ben Barten,DE,6-5,305.0,R-Jr.,"Stratford, Wis.",Wisconsin,Stratford,,,
87,,69.0,Zach Zei,LS,6-2,220.0,R-So.,"Arlington Heights, Ill.",Wisconsin,Prospect,,,
88,,70.0,Barrett Nelson,OL,6-6,284.0,R-Fr.,"Stoughton, Wis.",Wisconsin,Stoughton,,,
