,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown / High School,Previous School,Current School Name,Instagram,Twitter
30,16.0,C.J. Madden,DE,6' 4'',230,R-Fr.,"Ellenwood, Ga. / Cedar Grove",,Georgia,,
31,16.0,Jackson Muschamp,QB,6' 2'',190,Jr.,"Columbia, S.C. / Hammond School",,Georgia,jackson_muschamp,JacksonMuschamp
32,17.0,Anthony Evans III,WR,5' 11'',165,Fr.,"Converse, Texas / Judson",,Georgia,,
33,17.0,Dan Jackson,DB,6' 1'',190,Sr.,"Gainesville, Ga. / North Hall",,Georgia,danjackson_4,
34,18.0,C.J. Smith,WR,6' 3'',175,R-Fr.,"Apopka, Fla. / Mount Dora",,Georgia,,
35,18.0,Xavian Sorey Jr.,ILB,6' 3'',214,R-So.,"Campbellton, Fla. / IMG Academy",,Georgia,_slide.sorey,Sorey_Jr
36,19.0,Brock Bowers,TE,6' 4'',230,Jr.,"Napa, Calif. / Napa",,Georgia,brock.bowers17,brockbowers17
37,19.0,Darris Smith,OLB,6' 5'',225,So.,"Baxley, Ga. / Appling County",,Georgia,,
38,20.0,Sevaughn Clark,RB,6' 1'',215,Sr.,"Dawsonville, Ga. / Dawson County",,Georgia,n11es,VaughnC1ark
39,20.0,JaCorey Thomas,DB,6' 0'',200,So.,"Orlando, Fla. / Boone",,Georgia,,
40,22.0,Javon Bullard,DB,5' 11'',180,Jr.,"Milledgeville, Ga. / Baldwin",,Georgia,javon.bullard,cravejaaye
41,22.0,Branson Robinson,RB,5' 10'',220,So.,"Canton, Miss. / Germantown",,Georgia,,
42,23.0,De’Nylon Morrissette,WR,6' 1'',200,So.,"Stone Mountain, Ga. / North Cobb",,Georgia,,
43,23.0,Tykee Smith,DB,5' 10'',198,Sr.,"Philadelphia, Pa. / Imhotep Institute Charter",West Virginia,Georgia,tyksmith,TykSmith
44,24.0,Malaki Starks,DB,6' 1'',205,So.,"Jefferson, Ga. / Jefferson",,Georgia,,
45,25.0,E.J. Lightsey,ILB,6' 2'',223,R-Fr.,"Fitzgerald, Ga. / Fitzgerald",,Georgia,,
46,26.0,Collin Drake,QB,6' 1'',195,R-So.,"Ennis, Texas / Ennis",,Georgia,,
47,26.0,Samuel M'Pemba,OLB,6' 3'',245,Fr.,"Olivette, Mo. / IMG Academy",,Georgia,,
48,27.0,C.J. Washington,LB,6' 1'',220,R-Fr.,"Cedartown, Ga. / Cedartown",,Georgia,,
49,28.0,Mack Simmons,WR,5' 10'',175,Sr.,"Athens, Ga. / Prince Avenue School",Presbyterian College,Georgia,,
50,28.0,"Marcus Washington, Jr.",DB,6' 1'',185,R-Fr.,"Grovetown, Ga. / Grovetown",,Georgia,,
