,Image,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown / High School,Current School Name,Opendorse,Instagram,Twitter,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93
41,,25,Tyrice Ivy Jr.,DB,6' 3'',201,Jr.,"San Francisco, Calif. / Sacred Heart Cathedral",Oregon State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,25,Isaiah Newell,RB,6' 1'',218,R-So.,"Walnut Creek, Calif. / Las Lomas",Oregon State,,isaiah_newell5,IsaiahNewell0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,26,Jhae Drummer,DB,6' 0'',200,R-Fr.,"Long Beach, Calif. / Millikan",Oregon State,,jhaedrummer,yungjhae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,27,Rweha Munyagi Jr.,WR,6' 2'',192,R-Sr.,"Seattle, Wash. / Archbishop Thomas J. Murphy",Oregon State,Rweha Munyagi Jr.,rwehajr,rweha_jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,27,Noble Thomas,DB,5' 11'',193,R-Fr.,"Orange, Fla. / University",Oregon State,,lulnoble,JITRAW1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,28,Kitan Oladapo,DB,6' 1'',212,R-Sr.,"Happy Valley, Ore. / Central Catholic",Oregon State,,kitan.oladapo,Kitan_Oladapo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,28,Trent Walker,WR,6' 2'',190,R-So.,"Portland, Ore. / Beaverton",Oregon State,Trent Walker,_trentwalker_,TrentWalker20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,29,Dyontae Navarrete,RB,5' 10'',214,Jr.,"Woodburn, Ore. / Woodburn",Oregon State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,29,Austin Ratliff,DB,6' 1'',208,Fr.,"Silverton, Ore. / Silverton",Oregon State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,30,Josiah Johnson,DB,5' 10'',182,R-So.,"San Diego, Calif. / San Diego",Oregon State,,i.amjosiah_,JosiahJ03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,31,Mathias Malaki-Donaldson,OLB,6' 5'',233,R-Fr.,"Baldwin Village, Calif. / Oaks Christian",Oregon State,,_.31savage,MathiasMalaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,32,Melvin Jordan IV,ILB,5' 11'',225,R-Fr.,"St. Petersburg, Fla. / Clearwater Central Catholic",Oregon State,,nlmb_melvin,MelvinJordanIV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,33,Peyton Hogan,LS,6' 1'',188,R-So.,"Bozeman, Mont. / Bozeman",Oregon State,Peyton Hogan,peytonhogan_,Peyton_144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,33,Oluwaseyi Omotosho,DL,6' 2'',236,R-So.,"Houston, Texas / George Bush",Oregon State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,34,Jake Reichle,RB,6' 1'',199,R-Fr.,"Lake Oswego, Ore. / Lakeridge",Oregon State,,jakereichle,JakeReichle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,34,Max Walker,P,6' 2'',202,R-Fr.,"Fox Island, Wash. / Bellarmine Prep",Oregon State,,max__walkerr,max__walkerr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,35,Everett Hayes,K,6' 0'',210,Sr.,"Granite Bay, Calif. / Granite Bay",Oregon State,Everett Hayes,everett_hayes,everett_hayes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,36,Atticus Sappington,K,5' 10'',194,R-So.,"Portland, Ore. / Central Catholic",Oregon State,,atticus.sapp,AtticusSapping1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
