,Statistic,#,Full Name,Pos.,Ht.,Wt.,Class,School,Current School Name,Hometown / High School,Image,Name,Title
6,,,,,,,,,Columbia,,,Andrew Kukesh,Defensive Backs Coach/Defensive Pass Game Coordinator
7,,,,,,,,,Columbia,,,Paul Rice,Special Teams Coordinator/Linebackers Coach
8,,,,,,,,,Columbia,,,Christopher West,Defensive Line Coach
9,,,,,,,,,Columbia,,,Sky Mornhinweg,Quarterbacks Coach
10,,,,,,,,,Columbia,,,Justin Woodley,Defensive Assistant
11,,,,,,,,,Columbia,,,Greg Lamb,Assistant Athletics Director for Football Operations
12,,,,,,,,,Columbia,,,Connor Fite,Director of Social Media / Assistant Director of Player Personnel
13,,,,,,,,,Columbia,,,Salomon Burstein,Football Video Coordinator
14,,,,,,,,,Columbia,,,Jeremy Shapiro,Director of Player Personnel
15,,,,,,,,,Columbia,,,Aaron Curry,Player Personnel Assistant/Social Media Graphics Assistant
16,,,,,,,,,Columbia,,,Robert Gilmartin,Director of Football Sport Performance
17,,,,,,,,,Columbia,,,Frank Lisante,Assistant Director of Sport Performance
18,,,,,,,,,Columbia,,,Wilfred Frederic,Assistant Director of Sport Performance
