,Statistic,No.,Full Name,Pos.,Cl.,Ht.,Wt.,Hometown / High School,Image,Name,Title
103,,80.0,Nick Patterson,TE,So.,6-2,210.0,"Schertz, Texas / Choate Rosemary Hall",,,
104,,80.0,Matthew Zhang,K/P,Fr.,6-3,190.0,"Mishawaka, Ind. /",,,
105,,81.0,Luke Gibson,TE,Sr.,6-5,240.0,"San Antonio, Texas / Tom C. Clark",,,
106,,82.0,Charley Rossi,WR,Fr.,5-7,170.0,"McDonald, Pa. / South Fayette",,,
107,,83.0,Luke Colella,WR,So.,5-11,180.0,"Wexford, Pa. / North Allegheny",,,
108,,84.0,Alex Cherry,WR,Sr.,6-3,245.0,"Norwood, Mass. / St. Sebastian's School",,,
109,,85.0,Lewis Stroebel,WR,Jr.,6-2,170.0,"Cedarburg, Wis. / Cedarburg",,,
110,,86.0,AJ Barber,WR,So.,5-8,170.0,"Old Greenwich, Conn. / Greenwich",,,
111,,88.0,Price Williams,TE,Fr.,6-2,230.0,"Purcellville, Va. / Woodgrove",,,
112,,89.0,Eddie Duggan,TE,Sr.,6-2,230.0,"Norwood, Mass. / Milton Academy",,,
113,,90.0,James Stagg,DL,Sr.,6-4,245.0,"Phoenix, Ariz. / Desert Vista",,,
114,,92.0,Carter Christopher,DL,Sr.,6-1,270.0,"Hershey, Pa. / Bishop McDevitt",,,
115,,93.0,Bakari Edwards,DL,Fr.,6-0,220.0,"Homestead, Fla. / Gulliver Prep",,,
116,,94.0,Logan Rager,LS,Fr.,6-0,205.0,"Secaucus, N.J. / Bergen Catholic",,,
117,,95.0,Collin Taylor,DL,So.,6-4,250.0,"North Andover, Mass. / St. John's Prep.",,,
118,,96.0,Michael Azevedo,DL,Sr.,6-4,245.0,"San Diego, Calif. / Clairemont",,,
119,,97.0,Mason Weber,DL,Jr.,6-3,255.0,"Shawnee, Kansas / Bishop Miege",,,
120,,98.0,Chase Robertson,DL,So.,6-3,220.0,"Franklin, Tenn. / Independence",,,
121,,99.0,Cole Aubrey,LB,Sr.,6-2,235.0,"Laguna Niguel, Calif. / St. John Bosco High",,,
122,,99.0,Sam Massick,K,So.,5-9,160.0,"Blacklick, Ohio / Columbus Academy",,,
0,,,,,,,,,,Bob Surace,Charles W. Caldwell Jr. '25 Head Coach of Football
1,,,,,,,,,,Steve Verbit,Senior Associate Head Coach & Defensive Coordinator
2,,,,,,,,,,Mike Willis,"Assistant Head Coach, Offensive Coordinator & Tight Ends Coach"
3,,,,,,,,,,Mike Mendenhall,Special Teams Coordinator & Outside Linebackers Coach
4,,,,,,,,,,Mark Rosenbaum,Quarterbacks Coach & Recruiting Coordinator
5,,,,,,,,,,Brian Flinn,Wide Receivers Coach
6,,,,,,,,,,Mike Weick,Inside Linebackers Coach
7,,,,,,,,,,Brandon Cuevas,Running Backs Coach
8,,,,,,,,,,Chris Zarkoskie,Offensive Line Coach
