,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Previous School,Image,Title
47,,31.0,Joshua McMullen,CB,5-10,170.0,Fr.,"Miami, Fla. / Booker T. Washington HS",,,
48,,32.0,Malik Richardson,DE,6-4,225.0,R-So.,"Sumter, S.C. / Lakewood HS",,,
49,,33.0,Jaiden Bond,RB,5-9,185.0,So.,"Boone, N.C. / Watagua HS",,,
50,,34.0,Quenten Zanders,RB,5-8,175.0,Sr.,"Shelby, N.C. / Crest HS",Cleveland CC,,
51,,35.0,Christian Murphy,LB,6-1,220.0,Fr.,"Ft. Lauderdale, Fla. / Dillard HS",,,
52,,36.0,Brandon Benjamin,RB,5-9,220.0,So.,"Fort Myers, Fla. / Dunbar HS",Missouri State,,
53,,37.0,Lee Campbell,S,6-0,205.0,Fr.,"Charlotte, N.C. / Vance HS",Queen City Prep,,
54,,38.0,Brandon Dickerson,P,5-11,190.0,Sr.,"Indian Land, S.C. / Indian Land HS",,,
55,,39.0,Brayden Blackmon,TE,6-3,230.0,So.,"Duncan, S.C. / Byrnes HS",,,
56,,40.0,Cory Hennings,S,6-1,210.0,R-Fr.,"Matthews, N.C. / Weddington HS",,,
57,,41.0,Caleb Scott,LB,6-2,240.0,So.,"Black Mountain, N.C. / Owen HS",,,
58,,42.0,Jayion McMillan,S,5-9,185.0,Fr.,"Chapel Hill, N.C. / Ahop Christian Leadership Academy",,,
59,,43.0,Camury Reid,RB,5-11,185.0,Fr.,"Gastonia, N.C. / Forestview HS",,,
60,,44.0,Antarron Turner,LB,6-2,245.0,Fr.,"Ocala, Fla. / A.L. Brown (N.C.) HS",,,
61,,45.0,Justin Wallace,DL,6-3,235.0,Fr.,"Miami, Fla. / Killian HS",,,
62,,46.0,Paxton Robertson,K,6-0,205.0,So.,"Knoxville, Tenn. / Knoxville Catholic HS",,,
63,,47.0,Blue Monroe,LB,6-1,235.0,Fr.,"Concord, N.C. / Jay M. Robinson HS",,,
