,Statistic,#,Full Name,Pos.,Ht.,Wt.,Class,Year,Current School Name,Hometown,High School,Previous School,Image,Name,Title
85,,98.0,Dewey Greene,DL,6-2,255.0,Jr.,5th,Southern Illinois,"Columbia, SC",A.C. Flora,The Citadel,,,
86,,98.0,Chase Reeves,K,6-1,173.0,R-Fr.,2nd,Southern Illinois,"Granite City, Ill.",Granite City,,,,
87,,99.0,Caden Reeves,DL,6-4,260.0,So.,3rd,Southern Illinois,"Basehor, Kan.",St. Thomas Aquinas,,,,
88,,99.0,Nathan Torney,P,6-4,186.0,So.,2nd,Southern Illinois,"Kyabram, Australia",Kyabram,,,,
0,,,,,,,,,Southern Illinois,,,,,Nick Hill,Head Coach
1,,,,,,,,,Southern Illinois,,,,,Antonio James,Assistant Head Coach/DL
2,,,,,,,,,Southern Illinois,,,,,Blake Rolan,Offensive Coordinator/QBs
3,,,,,,,,,Southern Illinois,,,,,D.J. Vokolek,Defensive Coordinator
4,,,,,,,,,Southern Illinois,,,,,Dan Clark,Offensive Line
5,,,,,,,,,Southern Illinois,,,,,Zach Grant,Wide Receivers/Recruiting Coordinator
6,,,,,,,,,Southern Illinois,,,,,Nate Griffin,Tight Ends
7,,,,,,,,,Southern Illinois,,,,,Terry Hawthorne,Cornerbacks
8,,,,,,,,,Southern Illinois,,,,,Gary McGraw,Defensive Assistant/Special Teams Coordinator
9,,,,,,,,,Southern Illinois,,,,,Mac McLeran,Linebackers
10,,,,,,,,,Southern Illinois,,,,,Larry Warner,Running Backs
11,,,,,,,,,Southern Illinois,,,,,Ryan McVicker,Offensive Quality Control
12,,,,,,,,,Southern Illinois,,,,,Derrick McMahen,Defensive Quality Control
0,,,,,,,,,Southern Illinois,,,,,Elizabeth Toth,Director of Football Operations
1,,,,,,,,,Southern Illinois,,,,,Meade Smith,Head Strength Coach
2,,,,,,,,,Southern Illinois,,,,,Chris Gillespie,Video Coordinator
3,,,,,,,,,Southern Illinois,,,,,Mike Lyznicki,Athletic Trainer
4,,,,,,,,,Southern Illinois,,,,,Matt Orbany,Director of Equipment
