,Statistic,#,Full Name,Pos.,Year,Ht.,Wt.,Hometown,High School,C,Image,Name,Title
31,,23.0,Mashod Harrison,RB,Jr.,6-1,210.0,"Livingston, N.J.",The Taft School (Conn.),,,,
32,,23.0,Tim Malo,DB,So.,6-0,200.0,"Bellingham, Wash.",Sehome,,,,
33,,25.0,Uriel Richardson,DB,So.,5-11,190.0,"Jacksonville, Fla.",Mandarin,,,,
34,,25.0,Zachary Targoff,WR,Sr.,6-0,190.0,"New York, N.Y.",Trinity School,,,,
35,,26.0,Jordan DeLucia,RB,So.,5-11,215.0,"Bellmore, N.Y.",Kellenberg Memorial,,,,
36,,26.0,Cooper DeVeau,CB,Sr.,6-0,190.0,"Foxboro, Mass.",Xaverian Brothers,,,,
37,,27.0,Dylan Duchene,RB,Jr.,6-2,225.0,"Stuart, Fla.",Jensen Beach,,,,
38,,28.0,Sami Miller,DB,So.,5-10,170.0,"Orlando, Fla.",Lake Highland Preparatory,,,,
39,,29.0,Austin Alley,K,So.,5-10,165.0,"Fort Myers, Fla.",Canterbury,,,,
40,,30.0,Stockton Owen,RB,So.,6-1,210.0,"Cookeville, Tenn.",Cookeville,,,,
41,,31.0,Jack Whitten,DB,So.,6-1,195.0,"Scottsdale, Ariz.",Chaparral,,,,
42,,32.0,Qwentin Brown,RB,Fr.,6-0,200.0,"Santa Cruz, Calif.",Santa Cruz,,,,
43,,33.0,Jade Arroyo,TE,Fr.,6-3,225.0,"Highlands Ranch, Colo.",Highlands Ranch,,,,
44,,33.0,Triston McDonald,OLB,So.,5-9,205.0,"Arlington, Texas",Mansfield Timberview,,,,
45,,34.0,Ian Franzoni,RB,Jr.,5-11,210.0,"Robbinsville, N.J.",The Hun School,,,,
46,,35.0,Dillon Golden,TE,Fr.,6-4,235.0,"San Jose, Calif.",Saint Francis,,,,
47,,35.0,Xavier Silva,LB,So.,5-10,220.0,"St. Louis, Mo.",John Burroughs,,,,
48,,36.0,Declan Boyle,P,Jr.,6-2,245.0,"Kennett Square, Pa.",Unionville,,,,
49,,37.0,Christopher Maron,K,So.,5-10,175.0,"Weston, Fla.",American Heritage Plantation,,,,
50,,38.0,Evan Faiella,TE,Fr.,6-4,240.0,"Middlefield, Conn.",Coginchaug Regional,,,,
51,,38.0,Nevaeh Gattis,DB,Fr.,6-1,190.0,"Graham, N.C.",Southern Alamance,,,,
52,,39.0,Elias Archie,DB,Fr.,5-10,165.0,"Cerritos, Calif.",St. John Bosco,,,,
53,,39.0,Allen Smith,RB,Sr.,5-11,205.0,"Westerville, Ohio",Westerville Central,*,,,
54,,40.0,Kaleb Ross,LB,So.,6-0,225.0,"Lakeland, Fla.",Lake Gibson,,,,
55,,41.0,Tyler Baskett,DB,Fr.,6-0,180.0,"Chesapeake Beach, Md.",Northern,,,,
56,,42.0,Everett Skillern,DB,Fr.,5-10,185.0,"Houston, Texas",Second Baptist School,,,,
57,,43.0,Nick Hudson,DB,Fr.,5-10,175.0,"Houston, Texas",Shadow Creek,,,,
