,Statistic,Image,#,Full Name,Pos.,Ht.,Wt.,Class,Current School Name,Hometown,High School,Name,Title
3,,,,,,,,,Southeastern Louisiana,,,Anthony Scelfo,Wide Receivers/Recruiting Coordinator/Pass Game Coordinator
4,,,,,,,,,Southeastern Louisiana,,,Albert Poree,Running Backs
5,,,,,,,,,Southeastern Louisiana,,,Ross Jenkins,Tight Ends/Special Teams Coordinator
6,,,,,,,,,Southeastern Louisiana,,,Bill D'Ottavio,Defensive Coordinator/Safeties
7,,,,,,,,,Southeastern Louisiana,,,Del Lee-Collins,Cornerbacks
8,,,,,,,,,Southeastern Louisiana,,,Antonio Baker,Nickelbacks
9,,,,,,,,,Southeastern Louisiana,,,Dustin Landry,Linebackers
10,,,,,,,,,Southeastern Louisiana,,,Tom Rinaldi,Defensive Line
11,,,,,,,,,Southeastern Louisiana,,,Luke Wagner,Offensive Analyst/OL
12,,,,,,,,,Southeastern Louisiana,,,David Mertens,Offensive Analyst/OL
0,,,,,,,,,Southeastern Louisiana,,,Morgann McGee,Academic Counselor for Athletics (FB)
1,,,,,,,,,Southeastern Louisiana,,,Kyle Vagher,Director of Sport Performance
2,,,,,,,,,Southeastern Louisiana,,,Travis Nichols,"Assistant Director of Sport Performance (FB, SOC, SB)"
3,,,,,,,,,Southeastern Louisiana,,,Maxwell Brower,"Graduate Assistant Strength Coach (FB, TEN, GOLF, T&F)"
4,,,,,,,,,Southeastern Louisiana,,,Cade Genovese,Head Equipment Manager
