,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown,Current School Name,High School,Image,Name,Title
80,,86.0,Charlie Shadek,TE,6-3,225.0,Sr.,"Wellesley, Mass.",Bucknell,Kent School (Conn.),,,
81,,87.0,Kyle Fontes,TE,6-4,220.0,So.,"York, Pa.",Bucknell,Central York,,,
82,,88.0,Colby Grames,TE,6-3,225.0,Jr.,"Redlands, Calif.",Bucknell,Citrus Valley,,,
83,,90.0,Aneesh Vyas,DL,6-2,265.0,So.,"West Chester, Ohio",Bucknell,Lakota West,,,
84,,91.0,Matt Karic,P/K,5-8,170.0,Fr.,"Los Altos, Calif.",Bucknell,Saint Francis,,,
85,,92.0,Daniel Sierk,DL,6-5,250.0,Fr.,"Greensburg, Pa.",Bucknell,Hempfield Area,,,
86,,93.0,Aidan Davenport,LS,6-3,210.0,Jr.,"Chatham, N.J.",Bucknell,Chatham,,,
87,,94.0,Nick Niemynski,P/K,6-2,180.0,So.,"Blue Bell, Pa.",Bucknell,Germantown Academy,,,
88,,95.0,Grant Laws,DL,6-3,280.0,So.,"Halifax, Mass.",Bucknell,Xaverian Brothers,,,
89,,96.0,Patrick Quinlivan,DL,6-2,205.0,So.,"Medway, Mass.",Bucknell,Milton Academy,,,
90,,97.0,Nathaniel Carson,DL,6-6,270.0,Jr.,"Winston-Salem, N.C.",Bucknell,Reagan,,,
91,,98.0,Ruben Anderson,P/K,6-2,215.0,Jr.,"Lenexa, Kan.",Bucknell,Shawnee Mission West,,,
92,,99.0,Justin Fisher,DL,6-6,235.0,So.,"King of Prussia, Pa.",Bucknell,Upper Merion Area,,,
0,,,,,,,,,Bucknell,,,Dave Cecchini,Head Coach
1,,,,,,,,,Bucknell,,,John Bear,Offensive Coordinator
2,,,,,,,,,Bucknell,,,Chris Bowers,Defensive Coordinator
3,,,,,,,,,Bucknell,,,Colin Schaeffer,Special Teams Coordinator (DL)
4,,,,,,,,,Bucknell,,,Vinny Giacalone,Assistant Head Coach (TEs)
5,,,,,,,,,Bucknell,,,Jordan Johnson,Assistant Coach (RBs)
6,,,,,,,,,Bucknell,,,Greg Parker,Assistant Coach (OLBs)
7,,,,,,,,,Bucknell,,,Braelon Roberts,Assistant Coach (WRs)
8,,,,,,,,,Bucknell,,,Sean Pearson,Assistant Coach (OL)
9,,,,,,,,,Bucknell,,,Pat Clark,Assistant Coach (DBs)
10,,,,,,,,,Bucknell,,,McNeil Parker,Assistant Coach (Safeties)
11,,,,,,,,,Bucknell,,,Mark Kulbis,Strength and Conditioning Coach
12,,,,,,,,,Bucknell,,,Liel Karstetter,Equipment Manager
13,,,,,,,,,Bucknell,,,Zach Fanelli,Video Coordinator
