,Statistic,#,Image,Player,Pos.,Ht.,Wt.,Year,Hometown / High School,Previous School,Major,Name,Title
30,,21.0,,Jay Pearson,RB,6-0,195.0,R-Fr.,"McKees Rocks, Pa. / Sto-Rox Junior-Senior",,Sport Management,,
31,,22.0,,Kaelin Drakeford,SAF,6-4,205.0,R-So.,"Harrodsburg, Ky. / Mercer County",,Political Science,,
32,,23.0,,Kevin Daniels,RB,6-2,225.0,R-So.,"Glendale, Ariz. / Glendale",Northern Arizona Univ.,,,
33,,24.0,,Collin Tyson,SAF,6-0,190.0,R-So.,"Kansas City, Mo. / Platte County R-3",,Management,,
34,,25.0,,Marcus Edwards,DB,5-11,180.0,R-So.,"Bay City, Texas / Bay City",Cisco College,,,
35,,26.0,,Tyler Clark,RB,5-10,205.0,R-So.,"Chicago, Ill. / Phillips",,Ex Sci: Pre-Physical Therapy,,
36,,27.0,,Zay Gentry,DB,6-0,190.0,Jr.,"Anna, Texas / Anna",,Hospitality Management,,
37,,28.0,,Brandon Guido,SAF,5-9,190.0,R-Jr.,"Naperville, Ill. / Waubonsie Valley",,Sport Management,,
38,,29.0,,Kendi Young,RB,5-11,200.0,Jr.,"Calumet City, Ill. / Thornton Fractional North",,Management,,
39,,30.0,,Diego Oliver,DB,6-0,180.0,R-Fr.,"Chicago, Ill. / Kenwood Academy",,Corporate Communication,,
40,,31.0,,Chris Williams,DB,6-2,190.0,R-So.,"Peoria, Ill. / Peoria",,CMN: Mass Communication,,
