,Statistic,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown / High School,Previous School,Image,Name,Title
22,,14.0,Kyrin Beachem,DB,5-11,190.0,Jr.,"Oceanside, Calif. / Oceanside",,,,
23,,14.0,Emmerson Cortez-Menjivar,WR,6-2,180.0,Fr.,"Salinas, Calif. / Salinas HS",,,,
24,,15.0,Mark Hamper,WR,6-2,197.0,Fr.,"West Linn, Ore. / West Linn HS",,,,
25,,15.0,Hayden John,DB,6-2,190.0,Fr.,"Anacortes, Wash. / Anacortes HS",,,,
26,,16.0,Austin Ogletree,DB,6-1,190.0,R-So.,"Meridian, Idaho / Rocky Mountain",CSU-Pueblo,,,
27,,18.0,Ridge Docekal,QB,6-3,205.0,R-Fr.,"Scottsdale, Ariz. / Saguaro",,,,
28,,18.0,Tommy McCormick,DB,6-0,200.0,Jr.,"Fallon, Nev. / Churchill County",,,,
29,,19.0,Hogan Carmichael,QB,6-5,185.0,Fr.,"Bend, Ore. / Summit HS",,,,
30,,19.0,Davis Dengah,DB,5-11,180.0,R-So.,"Burien, Wash. / Kennedy Catholic",,,,
31,,20.0,Sully Shannon,LB,6-2,215.0,Sr.,"Phoenix, Ariz. / Brophy Prep",,,,
32,,21.0,Jordan Dwyer,WR,5-11,180.0,R-Fr.,"Puyallup, Wash. / Puyallup",,,,
33,,21.0,Tre Thomas,LB,6-1,220.0,Gr.,"Burnsville, Minn. / Burnsville HS",South Dakota,,,
34,,22.0,Dwayne McDougle,DB,6-0,195.0,Fr.,"Oakland, Calif. / McCLymonds HS",Northern Arizona,,,
35,,23.0,Dee'Shon Swafford,DB,5-9,170.0,R-Jr.,"San Diego, Calif. / Cathedral Catholic",,,,
36,,23.0,Art Williams,RB,6-0,205.0,Fr.,"Meridian, Idaho / Rocky Mountain HS",,,,
37,,24.0,Xe'ree Alexander,LB,6-2,215.0,Fr.,"Auburn, Wash. / Kennedy Catholic HS",,,,
38,,24.0,James White,TE,6-4,225.0,Fr.,"Lewiston, Idaho / Lewiston HS",,,,
39,,25.0,Carlos Matheney,RB,5-11,205.0,Fr.,"Olympia, Wash. / Tumwater HS",,,,
40,,25.0,Jordan Velasquez,DB,5-10,185.0,R-Fr.,"Marysville, Wash. / Marysville Pilchuck",,,,
41,,27.0,Spencer Fisher,LB,5-11,220.0,R-Fr.,"Homedale, Idaho / Homedale",,,,
42,,28.0,Colbey Nosworthy,LB,6-0,205.0,Jr.,"Hayden, Idaho / Coeur d'Alene",,,,
43,,29.0,Isaiah McIntyre,DB,6-1,190.0,So.,"Palmdale, Calif. / Palmdale HS",,,,
44,,31.0,Mathias Bertram,DB,6-1,190.0,R-Jr.,"Albuquerque, N.M. / Sandia",Univ. of New Mexico,,,
45,,33.0,Jake Cox,TE,6-3,235.0,R-So.,"El Paso, Texas / Coronado",,,,
46,,33.0,Julian Lee,DL,6-5,260.0,Fr.,"Lacey, Wash. / North Thurston HS",,,,
47,,35.0,Kemari Munier-Bailey,DL,6-3,230.0,Jr.,"Birmingham, U.K. / Juan Diego Catholic (Utah)",,,,
48,,36.0,Dylan Layne,LB,6-1,220.0,R-Fr.,"Lake Oswego, Ore. / Lake Oswego",,,,
49,,37.0,Hayden Kincheloe,RB,5-10,210.0,R-Fr.,"Homedale, Idaho / Homedale HS",,,,
50,,38.0,Tylen Coleman,DL,6-0,255.0,R-Sr.,"Maricopa, Ariz. / Maricopa HS",Western New Mexico,,,
51,,39.0,Trent Elstad,RB,5-9,190.0,R-So.,"Coeur d'Alene, Idaho / Coeur d'Alene",,,,
52,,39.0,Jacob Skobis,DB,5-8,156.0,R-Fr.,"Downey, Calif. / Downey HS",Washington State,,,
53,,40.0,Davis Fry,WR,6-1,185.0,Fr.,"College Place, Wash. / College Place HS",,,,
54,,41.0,Ethan Beard,LB,6-3,180.0,Fr.,"Meridian, Idaho / Meridian HS",,,,
55,,42.0,Trais Higgins,WR,5-10,180.0,So.,"Nampa, Idaho / Nampa",,,,
