,Statistic,Image,#,Name,Pos.,Ht.,Wt.,Cl.,Hometown/Previous School,Title
30,,,18.0,Caden Sipe,QB,6-2,190.0,Fr.,"Searcy, Ark. / Harding Academy",
31,,,19.0,Nnamdi Adim-Madumere,WR,6-4,225.0,So.,"Fort Worth, Texas / Minnesota",
32,,,20.0,Isaiah Broadway,RB,6-0,195.0,Fr.,"Lancaster, Texas / Lancaster HS",
33,,,21.0,Travelle Anderson,RB,6-0,200.0,Fr.,"Gosnell, Ark. / Osceola HS",
34,,,22.0,Derrick Wise,RB,5-10,205.0,Fr.,"Fort Smith, Ark. / Northside HS",
35,,,23.0,Tra Green,DB,6-0,200.0,Jr.,"Ashdown, Ark. / Arkansas State",
36,,,24.0,Darin Davenport,LB,6-2,225.0,Jr.,"Fort Smith, Ark. / Southside HS",
37,,,25.0,Kameryn Cuevas,DB,5-11,185.0,Sr.,"Gilmer, Texas / Kilgore College",
38,,,26.0,Sean Smith,DB,6-0,180.0,R-Fr.,"Arlington, Texas / Mansfield Summit HS",
39,,,27.0,Jaiden Robertson,DB,5-11,185.0,Fr.,"Houston, Texas / DeKaney HS",
40,,,28.0,Manny Smith,WR,5-7,175.0,Fr.,"Conway, Ark. / Conway HS",
41,,,29.0,Carline Davis III,DB,5-10,175.0,R-Fr.,"Marrero, La. / Southern University",
42,,,30.0,Deorius Cobbs,OLB,6-3,220.0,Fr.,"Jacksonville, Ark. / Jacksonville HS",
43,,,31.0,Karamba Kaba,DB,6-0,175.0,Fr.,"Ann Arbor, Mich. / Saline HS",
44,,,32.0,Dillon Williams,DB,6-0,190.0,Fr.,"Southaven, Miss. / Southaven HS",
45,,,33.0,Barylre Davenport,DE,6-3,255.0,R-Fr.,"Chickasaw, Ala. / Chickasaw HS",
46,,,34.0,Jake Golday,OLB,6-4,225.0,R-Fr.,"Arlington, Tenn. / Arlington HS",
47,,,35.0,Jalen Hodo,DB,6-1,180.0,R-Fr.,"Mesquite, Texas / Air Force Academy",
48,,,36.0,Zach Molina,WR,5-10,180.0,So.,"Mesa, Arizona / Southern Utah",
49,,,37.0,Drake Avery,TE,6-3,255.0,Fr.,"Little Rock, Ark. / Baptist Prep",
50,,,38.0,Tyler Siddons,TE,6-5,235.0,Fr.,"Salem, Ark. / Salem HS",
51,,,39.0,Dwain Hunt,LB,6-1,215.0,So.,"North Little Rock, Ark. / NLR HS",
52,,,40.0,Kendarrius Moore,LB,6-0,220.0,So.,"West Memphis, Ark. / West Memphis HS",
