,Unnamed: 0,Statistic,No.,Image,Name,Pos.,Ht.,Wt.,Cl.,Current School Name,Hometown,High School,Previous School,Title,Yr.,Hgt.,Wgt.,#,Full Name,Hometown/Previous School,Hometown (Prev School),Year,Pos,Academic Year,Hometown / High School,C,Hometown/High School,Unnamed: 7,Exp.,College,Class,Major,School,Hometown(Prev School),Hometown / Last School,Transfer,Player,CL.,NAME,POS,HT,WT,Name.1,Prev School,Yr.-Exp.,Custom Field 1,Custom Field 2,Custom Field 3,Hometown / High School / Prep (Previous College),Twitter,Instagram,FULL NAME,POS.,HT.,WT.,HOMETOWN,HIGH SCHOOL,PREVIOUS SCHOOL,MAJOR,High School / Prev. School,Letters,Photo,HIgh School,Hometown / High School (Last School),Previous College,Facebook,Previous University,High School (Prev. School),2022-23 Football Coaches,2022-23 Football Coaches.1,Eligibility,Position,Height,Weight,Number,Opendorse
41,41,,48.0,,Grant Nickel,P,6-0,170.0,So.,Abilene Christian,"Spring, Texas",Grand Oaks HS,Texas Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42,,49.0,,Cade Bleakney,LS,6-3,235.0,Rf.,Abilene Christian,"Crandall, Texas",Crandall HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43,,50.0,,Damion Hart,DL,6-3,245.0,Jr.,Abilene Christian,"Cibolo, Texas",Steele HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44,,51.0,,Kyle Pointer,LB,6-3,215.0,So.,Abilene Christian,"Queen Creek, Ariz.",Casteel HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,,54.0,,Carson Walker,OL,6-4,300.0,So.,Abilene Christian,"Midlothian, Texas",Heritage HS,Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46,,55.0,,Alan Hatten,OL,6-3,305.0,Jr.,Abilene Christian,"Great Meadows, N.J.",Hackettstown HS,Lackawanna College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47,,57.0,,Trent Pullen,OL,6-3,295.0,So.,Abilene Christian,"Waco, Texas",Connally HS,Oklahoma State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48,,58.0,,Brad Robinson,DL,6-2,270.0,R-So.,Abilene Christian,"Zephyr, Texas",Brownwood HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,49,,59.0,,Jacob Thielen,OL,6-4,305.0,Jr.,Abilene Christian,"Broomfield, Colo.",Faith Christian Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50,,61.0,,Dylan Kinney,OL,6-3,305.0,Rf.,Abilene Christian,"Richmond, Texas",Travis HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51,,62.0,,Jackson Andrews,OL,6-2,290.0,So.,Abilene Christian,"Schertz, Texas",Samuel Clemens HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52,,64.0,,Ethan Clark,OL,6-3,295.0,Rf.,Abilene Christian,"Pineville, La.",Pineville HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,,66.0,,Dylan Howerton,OL,6-5,290.0,So.,Abilene Christian,"Katy, Texas",Katy HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,,70.0,,Tay Yanta,OL,6-5,350.0,So.,Abilene Christian,"Falls City, Texas",Falls City HS,Texas Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,,72.0,,Femi Sakiri,OL,6-3,305.0,So.,Abilene Christian,"Roanoke, Texas",Byron Nelson HS,UConn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56,,74.0,,Reese Moore,OL,6-6,290.0,Jr.,Abilene Christian,"Seminole, Texas",Seminole HS,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,57,,75.0,,Rafiti Ghirmai,OL,6-5,320.0,Sr.,Abilene Christian,"Frisco, Texas",Wakeland HS,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,58,,76.0,,Joziah Fogle,OL,6-4,335.0,So.,Abilene Christian,"Spring, Texas",Spring HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
