,Statistic,#,Name,Cl.,Pos.,Ht.,Wt.,Hometown / Last School,Transfer,Image,Title
24,,12.0,Tyler Padezan,So.,WR,6-2,195.0,"East McKeesport, Pa / East Allegheny",,,
25,,13.0,CJ Barnes,So.,DB,5-11,175.0,"Lakeland, Fla. / Lake Gibson",,,
26,,13.0,Evan Nelson,Sr.,QB,6-3,190.0,"La Crescenta, Calif. / Crescenta Valley",Victor Valley,,
27,,14.0,Rafael McCoy,R-Fr.,WR,5-11,175.0,"Wilkes-Barre, Pa. / Wilkes-Barre Area",Old Dominion,,
28,,15.0,Max Sharp,So.,DB,5-11,180.0,"Pittsburgh, Pa. / North Hills",,,
29,,15.0,DeMarcus Townsend,Jr.,RB,5-10,220.0,"Naples, Fla. / Palmetto Ridge",FIU,,
30,,16.0,A.J. Ackerman,So.,DL,6-5,310.0,"Elizabeth, Pa. / Elizabeth Forward",,,
31,,16.0,Rahmiere Knight,Gr.,WR,5-11,185.0,"Canonsburg, Pa. / Canon-McMillan",Youngstown State,,
32,,17.0,Chase Diehl,So.,QB,6-0,200.0,"Harrisburg, Pa. / Bishop McDevitt",,,
33,,17.0,Wayne Wade III,R-Fr.,DB,5-11,170.0,"McKeesport, Pa. / Clairton",,,
34,,18.0,Nick Leopold,So.,WR,5-9,170.0,"Murrysville, Pa. / Franklin Regional",,,
35,,19.0,Connor Barrett,Jr.,LB,6-2,220.0,"Pittsburgh, Pa. / Chartiers Valley",,,
36,,19.0,Matt Schmitt,Fr.,WR,6-1,175.0,"Pittsburgh, Pa. / Central Catholic",,,
37,,20.0,Ty Howard,Fr.,LB,6-0,195.0,"Cleveland, Ohio / Villa Angela-St. Joseph",,,
38,,20.0,Donovan Stanley,So.,DB,6-0,170.0,"Euclid, Ohio / St. Edward",,,
39,,21.0,Justin Clark,So.,WR,5-10,185.0,"Scotch Plains, N.J. / Scotch Plains Fanwood",,,
40,,21.0,Mahlik Strozier,Jr.,DB,6-3,205.0,"Rochester, Pa. / Rochester",,,
41,,22.0,Ezekiel M. Daure,Jr.,DB,5-10,190.0,"Castle Shannon, Pa. / Keystone Oaks",,,
42,,23.0,JaMario Clements,R-Fr.,RB,5-10,200.0,"Lafayette, Ga. / Lafayette",,,
43,,23.0,Clemente Ojinnaka,So.,DL,6-3,260.0,"Hershey, Pa / Milton Hershey",,,
44,,24.0,Troy Kuhn,So.,TE,6-6,220.0,"Vandergrift, Pa. / Kiski Area",,,
45,,24.0,Evan Smith,So.,LB,6-3,230.0,"Cranberry Township, Pa. / Seneca Valley",,,
46,,25.0,Sam Brown,So.,LB,6-1,215.0,"Pittsburgh, Pa. / Fox Chapel",,,
47,,26.0,Nathan Proctor Jr.,Sr.,DL,6-2,260.0,"Indian Head, Md. / Lackey",Iowa Central,,
